,a_true,a_estimate,lambda_true,lambda_estimate,delta_true,delta_estimate,sigma_true,sigma_estimate,ndt_true,ndt_estimate,mu_z,std_z,corr,sig_to_var
10,2.160076041819485,1.5,1.5845811682255635,1.3947422546114634,0.35394953919594874,0.41012296194086156,0.5007804675645039,0.7341542952228666,0.7829945267906935,0.9231178502498512,1.5187260072069153,0.4790878382408602,noise,1.5324001918282308
11,2.864019104561664,3.0206721410120014,0.35270646386919846,0.10000117107258223,2.0789638181552235,2.743982005203619,0.17038917289620759,0.1688439962518491,0.859743405386395,0.853201065992957,2.9461810839337876,0.16883742312106007,ndt,1.0000389317170775
12,3.6413717294220587,4.0,1.4640130037398147,1.519878939681965,0.6156435342155706,0.6404012810875672,0.16782642513941504,0.16317923327238312,0.7815939604777089,0.7776637639072937,2.393738185504854,0.16317823713059593,ndt,1.0000061046240278
13,2.0306088814419176,1.5,0.7747916421146439,0.6453972171444503,1.2925309951575994,1.4911285846261682,0.29509932070161554,0.5212477814485086,0.7643978871631385,0.9480490115917231,1.3738883277711118,0.29656129830791156,noise,1.7576392618409404
14,2.969999067245978,1.5,1.9373947036098358,1.4512963045023946,2.91539556240818,3.0,0.7381851858321423,1.9395653416707845,0.2509060523875307,0.3848770482691757,2.1757410410767712,0.708709516539823,noise,2.7367564515578207
15,3.3019886969191927,1.5903510489283486,1.626175742180419,1.138785035862489,2.524574885678918,2.643643648148638,0.5101257673259697,1.7973263338228662,0.6024049429212759,0.7699641937115209,2.511081676585904,0.48543012843390454,noise,3.702543844201437
16,3.8074921147988423,1.5,1.2445762686903292,0.8031098267687747,1.1036965294274808,1.4927294076521704,0.2556878817160044,0.45881025444206686,0.3510684063535233,0.7603177066986337,1.1366306570374773,0.2660277702930008,noise,1.7246705257001442
17,3.638320847430066,1.5,1.744211463905687,1.0493914195440264,1.8990297658610529,2.108060338944121,0.19288776269339378,2.1863138942354863,0.12503721719161826,0.3262479110839479,2.5083784333173345,0.18590054413777632,noise,11.760664307766335
18,3.528680010273432,1.5,1.5867152135838285,1.121220992707845,1.3454685454896667,1.5861242605877643,0.6689266896711928,1.2912285500387957,0.6462686835549643,0.9277562994060343,2.040702181990077,0.6577756423975281,noise,1.9630227494171015
19,2.3906933186232573,2.424192218623598,0.5545277919741133,0.5530468677705388,0.7247850283319764,0.6903887476182706,0.5287324927839012,0.554107334649262,0.5181229854723025,0.5081231168934275,1.3581485429225089,0.5541096268830937,ndt,0.9999958632124032
20,2.0283223940091046,1.815519448216047,0.3210164500571241,0.10000155985854935,2.1286976469792807,2.331318409979506,0.9415815279668077,0.9481019197109224,0.2762161205273083,0.3112162810100708,1.281229250077553,0.9480756433220981,ndt,1.0000277154982404
21,2.9987969567995654,1.6266052026142455,1.915938421715755,1.5429640047211186,0.518941380715056,0.5691027221146618,0.3807998805206329,0.586075159043234,0.8227133156260591,1.0,1.4574205816339205,0.3779611915817098,noise,1.550622582679981
22,2.900139454719384,1.5113347663023395,1.717259004779896,1.1948612017465794,2.8071447441927915,2.9470462384647833,0.778720852339739,2.425288705780379,0.4600399447530771,0.6000400097667821,2.865042397246706,0.7432264464007645,noise,3.2631894593166946
23,1.72979657756609,1.7072446759301003,0.4755195291400707,0.4658298600668728,0.3527752420855086,0.3864904091854258,0.058603639970566085,0.0603705541959184,0.8152139903276,0.8191218127327321,2.0350211181305773,0.0603698728160957,ndt,1.0000112867526618
24,2.365154852661662,2.2108733809063374,0.4654809936802529,0.4284767299313046,0.7068327299352515,0.7015802595395944,0.9950083773209746,0.9714544673541604,0.7711126495007051,0.8431126461690471,2.6982141278172747,0.9714728447746995,ndt,0.9999810829292471
25,3.6247918392560745,2.898974756481725,0.17149343126393907,0.1,2.5904184831470713,2.4646285049028016,0.3788829510145326,1.731223429940234,0.8972458685038706,1.0,2.703951918120941,0.3779763420373479,noise,4.580242828449753
26,3.338296031146353,1.5,0.46153757870568335,0.1,2.2279362634392994,2.260671198744747,0.18881952391090032,1.7368771308984023,0.28363726916236565,0.6330115498594685,2.3526254404687856,0.1864796834772538,noise,9.31402873766815
27,3.1591607048718884,2.239150423218358,0.12098375799927921,0.1,2.54243098728034,2.211911524645755,0.24114289235026934,1.0410346623672038,0.8127756553398983,1.0,2.025274857956061,0.2476257349269836,noise,4.204064907365826
