,b0_true,b0_estimate,lambda_true,lambda_estimate,ndt_true,ndt_estimate,mu1_true,mu1_estimate,mu2_true,mu2_estimate,sigma_true,sigma_estimate,mu_z,std_z,index,corr,sig_to_var
56,4.649906554393182,5.0,1.1172244709786092,1.2840596640692103,0.8269560327305134,0.8462135474548487,-2.179337797875213,-2.1973148492071135,-0.14527644894143665,-0.21682112448404545,0.3581340207280644,0.35437421416636206,2.446680033459398,0.35379596585215334,1.054453178631716,ndt,1.001634411836257
57,4.3078386336831125,2.0,1.1409233647806283,0.6123067769948418,0.420393301326881,0.685252052630203,2.2567165784721688,2.775449068952574,-0.11393280876679879,-0.17913167069778613,0.5533007074595157,1.5256952678098314,2.1102166722836033,0.5721258491480568,3.2030211781279885,noise,2.6667126998049806
58,2.4900038547268006,2.0,0.42192864139789116,0.2516291093159951,0.32948769227974856,0.45783049731083514,0.6039122954596585,0.8028266879596915,-2.3959303968341397,-2.743277752383027,0.31422669136162446,1.9023088259650813,2.328451587745766,0.3114921009626081,6.994707939581909,noise,6.107085284302078
59,3.7323540356994322,3.5501287964484343,0.6280584225632004,0.6357713280494429,0.9479849442191651,1.0,-2.5670601972212195,-2.651462356304187,-2.0744508187963384,-2.170271633317246,0.1397066855219848,0.7424525547180519,1.7227986982731747,0.14353372202879985,5.734430942173261,noise,5.172669838305174
60,3.7311320450455785,2.0,1.9811388505918224,1.7565037026024009,0.7114077226259897,0.8597499086461265,2.8921416327135674,3.0,1.0087724071120523,1.1679734975821754,0.7233434818774773,0.9661788264492917,1.4574294474511706,0.7277586860560203,1.461052005139289,noise,1.3276087870353752
61,2.314726284460646,3.1318084418616503,0.9994452060917518,1.4128679202360304,0.4260774173484743,0.3827238566888628,1.5217957997873612,1.4836130176789832,1.733752346492016,1.716792574203665,0.4131323469813142,0.40466625387378397,2.5035728029466418,0.40428887290965476,1.042180859216356,ndt,1.0009334438551654
62,3.1179423330529517,3.161108331366566,0.32655488364263396,0.3580422237777445,0.6600135498222445,0.6574681390532959,0.5964402409632719,0.6408122266318081,2.2003894604113654,2.0672835074934657,0.37946988740195847,0.3945059943251149,1.2062092679084233,0.3944883751611135,1.0017446132646193,ndt,1.0000446633287843
63,3.9976158853613404,4.036037219316004,0.2209480320767201,0.225565581450013,0.4451192831663214,0.4533511502565506,-2.9627587317823103,-3.0,-2.0356154447852433,-2.0438409302270797,0.4913627398392095,0.4629612245510596,1.0076550423008874,0.4629237272768074,1.100045784999209,ndt,1.0000810009771433
64,4.3277254313597835,4.908527166587147,1.1716664091943407,1.4026639045567162,0.6327525236497062,0.6606398902370401,-2.234159541199741,-2.4548268062050047,2.7148340845132206,3.0,0.8554096106013089,0.8259305648187361,0.06608126859696879,0.8255202958896126,1.0007813169454334,ndt,1.0004969822440057
65,4.061547204905086,2.272072292934256,0.42774738536606477,0.1,0.27880743843245437,0.566437674043128,-2.598648638692315,-2.947540409690074,0.045276780709845754,0.05658867151177293,0.8286580992373599,1.5610745572033875,1.914787888573206,0.79984820103744,2.63876753758689,noise,1.9517135316158762
66,2.349980846112843,2.5755880098677917,1.3003274006921328,1.5283618884980081,0.8788088277900489,0.8807725609410767,-2.088433625530886,-2.0291887535704642,1.6405948357714457,1.5407990013227135,0.43494942943083303,0.42495534990658174,1.8008070377103746,0.42475795074766354,1.0106695224267126,ndt,1.0004647332876777
67,3.5905602042420375,2.7369324439535174,0.2358962955861573,0.1,0.8431291006805921,0.9914777652821414,-2.470551506875889,-2.5827694568816018,2.312631400968452,2.363498082310328,0.9690529855132164,1.5923585307171255,2.3074536148761733,0.9421892806042985,1.949759391594248,noise,1.690062244919432
68,4.908159568545308,4.870635935800657,0.5612798496450998,0.6050057332071572,0.6327113778055357,0.6884371151486725,2.436838758729481,2.629972940940622,-0.47475457470719507,-0.5035717025071808,0.5489815987166053,0.5601329162453317,2.3888137763061055,0.5599235609181017,1.192284699547366,ndt,1.0003738998353395
69,3.2212628485101176,3.61221232800124,1.5436891577756031,1.6955798752498201,0.23784568486430924,0.23451924088107512,-1.978330219621968,-2.0485538342112877,-1.3990384623589276,-1.3198000219084243,0.149725091844182,0.14844214311122517,1.8025332842305957,0.14844100993270437,1.0586813395550994,ndt,1.0000076338642623
70,4.075369448608812,4.999998177386578,0.982711960959186,1.2652788287092238,0.8951994410006834,0.8775813187822434,0.8266503226868418,0.836607891680833,2.755619159486778,2.7478615348280684,0.8601898766204504,0.8489364318223032,2.9058609419027377,0.8485964841042283,1.0233059076611455,ndt,1.0004005999605734
71,3.498235959543461,2.18325003963774,0.2789938566387946,0.10282442595638977,0.6224889626164759,1.0,0.9001596358206032,0.9783950934517586,0.8145636740664943,0.8491630056738873,0.842619280442364,1.1677215003555161,1.8028797271690165,0.8811433458738395,1.6598707536897275,noise,1.3252344307241792
72,3.2153606893789344,2.639754326986686,0.3457752193396608,0.30083978580252746,0.8249632552349809,1.0,0.14011069684077904,0.10609152203995277,-1.2882442295556966,-1.279507285122875,0.3620378197223514,0.9478193694593782,1.8873891743370965,0.3621677707016696,2.6170726556453596,noise,2.6170726556453596
73,3.3344196417840477,2.0,1.056444460101193,0.6705517890331545,0.26991453207456595,0.43660770571994245,-0.7265139748401037,-0.7689903323557792,-2.1611118275949215,-2.281031422178222,0.38879756876818694,1.0044273452382602,1.37589501092056,0.3760577377506749,3.2335421598447365,noise,2.67093917877098
74,4.365023533605091,4.553208506442798,0.6157035159308617,0.6124686147352513,0.7572530345225499,0.7395348757143884,1.7470629542615972,1.7467943943038902,0.7154737356109342,0.728978101278774,0.7221731350551743,0.7332860116299026,2.4256738577743104,0.7332096032716479,1.0969284078440946,ndt,1.0001042107985407
75,3.164177769621648,2.160717468456261,1.9414887701571704,1.7702591359838156,0.1351549548545829,0.23138346697263432,-2.421187765195829,-2.5948690464225694,-1.4990847147524504,-1.5978871692554524,0.05543533282120142,1.97189334931701,2.1984747227061145,0.05609458716247142,35.47952097782602,noise,35.15300582577872
76,2.3873720820328503,2.0,1.2418012799457077,1.1900775491424924,0.3841275563220441,0.44404960867609267,0.6702484347177187,0.6477687409430543,-2.7900101178442216,-2.940283386123641,0.7805033718001031,1.6159773464661968,1.9259864897711823,0.765017871024339,2.4339240236312336,noise,2.1123393422201304
