,a_true,a_estimate,lambda_true,lambda_estimate,delta_true,delta_estimate,sigma_z_true,sigma_z_estimate,ndt_true,ndt_estimate,alpha_true,alpha_estimate
0,3.738094032906563,2.584834146759948,1.3675828179528995,0.7485572384332027,1.8978064518628768,1.9598427232226818,0.21455984457185717,0.2230597766785562,0.8927950026546896,0.9817950506265691,-1.6912558413273273,-1.7763474363447722
1,1.5908336303835708,1.6525301527250926,1.8991565212575632,1.7938639541487804,0.7432445311762602,0.7654284483302822,0.11277598535836579,0.11290483513232863,0.4852109738464684,0.4792109823646892,-0.6962682549926998,-0.6920640984520754
2,1.984206068729953,1.5976583835960385,1.209650094314165,0.684812010125863,1.5998861887975186,1.7190268669626056,0.22771146658259755,0.2307097059408288,0.27107200782391744,0.3090719945935213,-1.5612503483740203,-1.58864091670283
3,2.283504484672641,2.0189061856533703,0.7813281729573404,0.5507393196888573,2.0126742474060895,2.1760539158970786,0.22472886679148693,0.20636581466181195,0.5031047732679667,0.5521054243504906,-0.4949634983615811,-0.5546360654967182
4,3.5572746407349007,2.955766595219014,1.2712157821285617,1.0075204895989431,0.9892986230589558,1.0094938022748232,0.36559762914317934,0.38395200921008654,0.08239999540778874,0.1514000123194182,-1.483164109810064,-1.529665677443614
5,1.5773756830753378,1.5,0.16322893633918265,0.1,2.3731916154288197,2.4378828186919694,0.3172267255366521,0.31688180398709487,0.5125517559077118,0.5271622874367903,-0.4396611182659335,-0.4659785921096271
6,1.8059794843431254,1.5491180432163,1.4990358285774077,1.1355249151093165,2.969844761860906,3.0,0.25206167864934376,0.24673501915972995,0.593779036829011,0.6217788663626289,-1.6845806095538536,-1.713053225729476
7,2.748093438893458,2.3657134423967356,0.773751850741571,0.2230176054966228,2.267247561373443,2.822742308368781,0.3658642408583459,0.36870561680735525,0.06015450413491534,0.09915447223177287,-0.592500300892093,-0.6463675894606513
8,3.5438545464323723,3.8028247962139425,0.3620236324913217,0.1,2.2895035032679463,2.783434897439493,0.16822449732299238,0.16721586074984232,0.1331457178753419,0.05,-0.49017233610946354,-0.4131107207755943
9,1.7751711765329055,2.1425870225600487,1.526668686600707,1.3358958596074486,2.269098182900528,2.575779685624086,0.16409859208299257,0.16762645431258513,0.9402416347186496,0.9122416508989349,-0.4903597280543573,-0.45355399050795664
10,2.522266704387014,2.7238207154648926,1.019329267354829,1.1021980419022288,0.4012775993778649,0.4007420266861219,0.20154206351530765,0.20455138974667275,0.9482867815881961,0.9362868726871953,-1.1784816399742664,-1.1662688797675647
11,3.106924690568379,3.781332706966348,0.45369012098361633,0.4568867659989418,1.7446855032783153,1.8708496535490602,0.2716616845207408,0.27137031313185483,0.3953561545248161,0.2923573486609038,-0.5117091394219623,-0.4008326925048619
12,3.550034006069195,4.0,0.4423210951895952,0.47195854733643317,0.08863342757150705,0.10214639045461381,0.36593814779142275,0.3658509840385574,0.9264973395275582,0.7368456467579102,-0.9434827105165497,-0.7689008238019877
13,2.177402254471234,2.0969257351878783,1.5912230682595283,1.6016070958907718,0.33867118748463443,0.3164004350287516,0.1584951353138139,0.1549219176943196,0.4589932115252603,0.48199332032814135,-1.577747802926963,-1.6061866778015532
14,1.820283500551899,1.5376969256309652,1.7820779109387261,1.4285738442122715,1.0798156996498918,0.9993533057591044,0.25727264468391325,0.26621943041241347,0.12558849532869468,0.15558848170095818,-0.5477916300779551,-0.5753908515759103
15,3.7749027873804266,3.9001924394194427,1.9052683011196943,1.7875709706416472,2.6236978138518854,2.560392731247701,0.3531638789543655,0.34532002222137476,0.9121357156808624,0.8831357199659903,-0.8941359803589798,-0.8659544812664475
16,2.5448236240203403,2.998488232581672,0.9961537701031334,1.2978505522927288,1.1393415704399694,1.0996028202992432,0.300421059539388,0.2941973557664577,0.9305411098409091,0.9185410607533946,-1.53830838242976,-1.5271907011953862
17,3.3108290254377106,1.8251980592274815,1.1571200034947706,0.5758309309687449,2.962064648374061,2.8258160189838546,0.12271934839938857,0.11766299736195586,0.5716904051315709,0.7286904109095427,-0.400642290378625,-0.5546903609467506
18,2.470613711760354,2.2616047403816673,0.15173014513508237,0.1,1.0379015541029157,1.0421470304885763,0.06897886599165087,0.0680819028935162,0.1683378715870045,0.19533786488544028,-1.3254833580290595,-1.344788024553511
19,3.994184038406859,2.422031212195508,1.8195505138134551,0.7708387067321679,0.8119015955909435,0.9424142177567485,0.1894381291681928,0.17895101436374022,0.7796671166742375,0.881666609168281,-1.574054503067717,-1.6792235619837126
20,3.2439948395561373,2.6900633701552734,1.772962370122402,1.266992191414423,0.726542032921522,0.8089890887638265,0.385825478966513,0.4016193604113478,0.2843802508088408,0.33138030242230965,-0.8264377051519576,-0.8832674967186694
21,2.4341449274151454,3.010650414362832,0.7754980427354007,0.9861964856449714,0.9521170709644754,0.8724783299339212,0.2303255116824466,0.2359374552771341,0.7576184865537328,0.6776178193844791,-0.8329428769920518,-0.7502475162597757
22,3.61464857132675,3.430766888039881,1.8884065312524365,1.7636408489794404,2.5510997027122775,2.658829445226214,0.19911066663866425,0.19781979861235274,0.9728603047823812,0.998860292859151,-0.8456315290840781,-0.8765397687575718
23,3.145379150909158,3.1056254244039634,0.6791326850179995,0.7330620201208247,1.5518831999552125,1.5023265089245126,0.48069144266914493,0.48072709358955246,0.755095362215114,0.759095670593197,-0.22280047356505422,-0.22011932196502262
24,1.656001897982371,1.827476470007295,0.6486270397028597,0.6567497061623178,0.09900679391727951,0.06747467689047873,0.3307425318222328,0.3157584422064358,0.14018703701919458,0.07818529508996115,-0.7021652707453432,-0.6467142233990282
25,3.0683770591598725,3.249895065831807,1.52962833341774,1.4695336353887598,0.2164250583677063,0.16801989715684362,0.1828046208720381,0.17888694845921135,0.16589874461895185,0.1258986778155362,-1.6611365599484114,-1.612143063652224
26,3.334849472549771,3.343931935388575,1.2412664257234958,1.0351343926686172,2.993511279816099,2.9999999862890254,0.3334412569659511,0.3464079288848102,0.1462241917856903,0.1252241160993059,-1.63812925643906,-1.6063925306912061
27,2.2890971404087592,2.2268400249940496,0.5566659957525575,0.5046842562078941,1.4238609165227727,1.4904845804613196,0.43079485495095354,0.43650603783951986,0.7483989179078469,0.7743989174107918,-1.9737742423737832,-1.983601264738025
28,1.5970736480275662,1.5172609401808081,1.6045474334154004,1.6556506817817924,1.999493650543998,1.885616034820445,0.47152667561597306,0.46623311030944947,0.39979849382498933,0.4227984979384465,-1.4698377114447918,-1.5127172695378759
29,3.2493565515264295,3.557583437128616,0.6278022909110934,0.5640973894589741,1.0605866623302318,1.1753779550753354,0.49755097616675853,0.4730959413556203,0.6042426367787282,0.5402426187163747,-1.0419256799434617,-0.9666113632379718
30,2.1545204285285444,2.6958121601612826,0.40190934339561735,1.042821045817971,2.6984925004159477,2.436709857098358,0.40446182746239845,0.4092008100196981,0.5801834858378172,0.558183392568961,-0.3511208008615752,-0.33510079918721264
31,2.1951446790387803,1.6865506871728666,1.0290225730694764,0.7347574575193161,1.0631618005479853,1.0163805731947728,0.22670072763070587,0.21972797982719378,0.7729121355633531,0.8579123744539456,-0.31417556811155456,-0.37830195705632574
32,1.7244718394299692,1.5,1.3129052441642706,0.4475098465309084,2.488457323528067,3.0,0.34832324798956743,0.3303394068491827,0.254325347118169,0.28547986956471927,-0.633960682859077,-0.6609092642584748
33,2.7507931726235677,3.0082673587386055,1.8097087349407037,1.8566512388791718,2.2744560664106053,2.2014902978921613,0.22321530720192573,0.22622580469317244,0.5276519563457582,0.5016519679276913,-0.4226425821360077,-0.3953716658731627
34,3.587006546889679,3.3564980058688336,1.8755498555680676,1.504932240964742,1.8889068638496602,2.054957120104625,0.1846873100265078,0.18059632115396357,0.2641530196509562,0.293153839443805,-0.5941422285974789,-0.6241979674709046
35,3.1049457048802833,3.7964723771481803,0.7414257194270459,0.9139374937994772,0.09822225419865205,0.08186503017479532,0.4383826623717276,0.43222121118738266,0.5052304163173692,0.4042304865508276,-0.30312624423488044,-0.2
36,3.8005772835957634,3.305527443377313,0.8026854485076728,0.6301070000527849,2.5091914918743,2.5533135935690368,0.09722445834146651,0.09390108052848292,0.5602269160976326,0.6142269152151922,-1.3300623655385173,-1.3878932183446722
37,2.3847180616074715,1.7113767881750386,1.3071083041895344,0.8006766862474404,0.23913926554996345,0.3011983516625256,0.22430935095119617,0.21574901845703504,0.6765990747373384,0.8015979211740509,-1.0436973398756924,-1.1612012872489506
38,2.429018214101425,3.0620581547642898,0.5360234998098546,0.7259213583837905,2.038278835193669,1.9263404347155477,0.07870573107395773,0.08167248539380832,0.7930538489593981,0.7020538283332384,-1.311148335992329,-1.229101013758281
39,3.715497670983163,2.33271314192238,1.2189115551660774,0.6295755221573538,0.2975367847593807,0.2876592147375159,0.058899518244306115,0.05817591026510174,0.6684950337828046,0.8524960780931639,-0.6587660930323279,-0.8425129848030466
