,a_true,a_estimate,lambda_true,lambda_estimate,delta_true,delta_estimate,ndt_true,ndt_estimate
116,3.9512781636744143,3.7962836933895887,1.8172702165746768,1.2696661923664905,2.4494517092637444,2.8688605802057188,0.6563159269582955,0.6843159442528187
117,2.591144746690695,2.448528215183173,0.122061224341041,0.1,1.4751943845373965,1.4050061944032712,0.6399478115990909,0.7319480583075761
118,3.9114280318503982,4.0,1.007606816682089,0.3349953772179458,2.0667485135948036,2.9999837265895866,0.8615767619939324,0.8774023194748943
119,2.2038977991854756,2.026864769535239,1.878749497371019,2.0,2.3201226336230243,2.222863589036992,0.5389601469773784,0.57095879217269
120,3.006140332525331,3.6921984369457026,1.474624742144403,1.681457219932755,0.2282685714763586,0.1881100938733008,0.3871639327482355,0.196163940136212
121,2.16797671107727,1.8516364494243625,1.235483387716039,0.9959216928292436,1.875473787092992,1.6976034874923938,0.3100993813602669,0.3590994185189561
122,1.7788230977054442,1.790214991445094,0.3446221889831775,0.1,1.789807284921717,2.1230182238331934,0.4473811205168627,0.4533811553451881
123,3.539191371600016,3.88142592499696,0.2551187862905865,0.1000132879040958,2.2438013735843465,2.4076739560414504,0.1391160186247538,0.0500000000000004
124,3.5937438389005365,2.803214592813824,0.4437262860358517,0.1001727309221087,2.393212471134231,2.526803930364209,0.1520191922292687,0.2830193052504293
125,2.8738257255018724,2.6152304157261166,0.2966276700595864,0.2687909351034529,0.5292579523475445,0.540629010026971,0.0739592938385326,0.2497364367818098
126,3.016924617132291,3.064001673711743,0.61092949771718,0.6545064348810989,1.1503852835119597,1.067656319813439,0.3710496495159855,0.4320496494401987
127,1.652762215135639,1.5,1.656343932594728,1.569163967076644,1.3024918145375897,1.145187219560961,0.1967530588811241,0.2197530566183748
128,2.9939585693017525,3.999902985207949,1.5582537069897946,1.9365189069191413,1.138784661360401,0.9805934320201952,0.3688338782790771,0.1368339423721693
129,3.696519329975667,4.0,1.029201075579705,1.123091075712178,0.8203877102830638,0.8301137586104577,0.7280746837455917,0.6770746749222117
130,2.097436341420886,1.9128435926450225,0.7513934303139325,0.6837183469628889,0.5773933030402812,0.7826772411905085,0.3016568228394714,0.3936678738854677
131,2.249815997237745,2.739177674871081,0.1980623814529753,0.2615080101013224,0.9427735513202258,1.0147775551349372,0.6395579063322366,0.4925536138702222
132,2.2373069113742625,1.93025398410003,0.8665553636554323,0.7258757609149861,1.1598420648025047,1.0862968570777314,0.8236116319313611,0.8956116246501099
133,1.5697114455102317,1.6943470475247768,0.5573192886304225,0.1,1.9309074099129435,2.3761326674078393,0.1027270027918937,0.05
134,2.312919671917072,2.228700653587735,1.0771618176630529,0.9618570429963176,0.0730946181597375,0.2348623821324293,0.2754807154747721,0.2024799968655951
135,2.130868618615105,1.8651366697717204,1.7892884814475485,1.756760367876268,0.2276376896113487,0.1453147090135688,0.5461768420265691,0.686176954285828
136,2.6130757400131097,2.5423272255282305,0.1567763039531549,0.1567846817018887,0.0628900336911298,0.0105023034044822,0.8684429562048989,1.0
137,3.3857466170048296,3.5882949213746884,0.5792282657652424,0.5826311088711182,0.0987208951869148,0.0374308870677995,0.6089644336004291,0.401947474621679
138,3.01628077106792,3.211864151604969,0.6666503369924165,0.103316639349159,1.956892657166302,2.6089921452177056,0.6331390700386141,0.6191389776850926
139,2.293548991016229,2.249052539360444,1.4477230146394722,1.0454919130718785,2.745004810886954,2.99729032046589,0.2420694798944971,0.2470695088836454
140,1.5899374885367807,1.8054068307865636,0.5016752318740169,0.6757541093904241,0.7183069955193493,0.7870157187737111,0.2177976758685758,0.1787977597005324
141,3.4523347641707427,2.5016983894517257,0.1905771497599878,0.1,2.017428195089342,1.8702802594381944,0.7702744141241143,1.0
142,2.1397676808159627,2.0036832260263178,1.343409365820628,1.252204568484733,0.6277521055129791,0.6996269243805765,0.8077334541240256,0.8217332267214967
143,3.1718343364582675,3.4727061191502435,1.6186313367566243,1.783862696344545,0.2183070216278674,0.1416737721025061,0.1792037383339645,0.1372037317491742
144,2.4805211351076255,2.2489701417781913,0.6625913916782186,0.5550759605660419,0.534309880372778,0.7356425766257599,0.7916423991083633,0.9436423894752122
145,2.2764955378263605,2.4134386265737633,0.3370896303006417,0.1,2.40630214414343,2.950630189383117,0.345789615215539,0.3824784994679312
146,2.491396114017302,2.17006626543225,0.3322044583457276,0.2809233112996503,0.359188525971592,0.4358017310581848,0.2758767219699488,0.4138765977200537
147,2.4767097674573275,2.057864385515109,1.934830152061627,1.6886485518732226,0.8817534193007247,0.9029919751003976,0.8842876926436675,0.977287628184384
148,2.0245950404136464,1.5,1.2074102789547678,0.8796682772641569,2.9799983894229904,3.0,0.3268977755990551,0.4269057058916284
149,3.061232431640437,3.1204970953665896,1.1201471581759763,1.172958652150235,1.294918011026737,1.3428898137582277,0.7217874046370879,0.7427809846679895
150,3.433183331272992,4.0,0.1186159513949324,0.1000054235180664,1.9675721941679885,2.0528600272378945,0.8831526105930272,0.7781526127704129
151,2.2933178484205037,2.37646911378309,0.2309429589464394,0.5819389756808342,2.933097083277673,2.6960518619912612,0.6835088790609092,0.6735088672612504
152,2.412058929143815,2.0780850014720658,0.8444715573310846,0.1182727364783565,2.3606396577789273,3.0,0.3411756793415271,0.4098641154676921
153,1.791198649772623,1.551016659458914,1.13517912527977,0.9621767287598963,1.3941664417993036,1.4267959288995256,0.410043444932296,0.4580461912613545
154,3.305770379458467,3.02025800947684,1.4407709699144362,0.8699887667134867,2.3393858086992596,2.903936741814893,0.5550004045552822,0.6560003319421683
155,3.984281929288844,3.8096720749969224,1.3817187711473804,1.2036846631621232,1.2404808175877422,1.320809415802802,0.0888568757861996,0.05
156,3.5087097559594973,4.0,1.2585698154809346,1.667367761637012,2.756496996466927,2.9155450780110357,0.1875521528919124,0.1802978658664878
157,2.875183328222483,2.546652987980446,0.4163003619769511,0.3855675456468501,0.3025656745164008,0.2390650361551317,0.4475133041097004,0.5775038242681784
158,2.569801542913716,2.384361061914672,0.5043748329251864,0.311881582562823,2.7871379489975716,2.999984179020875,0.2192948892397558,0.2612948451741895
159,1.8750545263888492,2.0743527170635594,0.8471487756400408,1.1130416741646445,1.4665573899405575,1.3408622667213266,0.3970410777529173,0.3340410852518548
160,3.652405135574017,3.729506473824966,1.2073023661591382,1.299642818239547,0.0568392873000236,0.0128235683174361,0.8889593617047793,1.0
