sbj,b0,delta0,delta1,t0,sigma,mean_z,std_z,G2,BIC
S10_epo,0.8864667324051725,3.3493187809026255,0.6008636229429514,0.19020654231704448,0.3284802818938265,0.18423198745479205,0.07756863051575562,-1099.556338513021,-1067.9795485054094
S11_epo,1.086320141395627,2.863349153254372,0.5731348126135354,0.34197438669962255,0.37290783979892456,0.3389452838827839,0.11069576298948205,568.6324226320224,600.1455175107469
S12_epo,0.808985388046155,2.061076614708259,0.3136943028969609,0.3169189592949774,0.5183300803025876,0.2821013935810811,0.12085037684619715,-27.372252379292416,4.222588189439758
S13_epo,1.5056616812397794,3.507607998372473,0.5338928986305767,0.2229667895747398,0.30043705526176157,0.22001437892025089,0.0777123078999051,-736.0941055692092,-704.4723107573027
S14_epo,1.209416257488689,3.483136840908921,0.563594185757172,0.22139744212102325,0.325030559505726,0.21699642454954954,0.08073132307114884,-742.1373032493656,-710.5424626806334
S15_epo,1.1640993222861349,3.4192436669658037,0.7077922492844998,0.27981690599851616,0.39204493935512413,0.2715396601775957,0.1154951055123321,242.45358902576746,273.9940812333151
S16_epo,1.2178694652057604,3.6650787081075134,0.759982398783389,0.23934311864357397,0.4017319169015582,0.23046396396396396,0.09582928767600397,51.04919191765082,82.644032486383
S17_epo,1.6033728832103944,2.4282440901333513,0.45614262021875684,0.26013198981433727,0.40178254075340675,0.2560608016304348,0.10572740327474571,521.8148037735834,551.94413364271
S18_epo,0.7311845228031014,2.490139852886964,0.4545926442488508,0.2504635227604011,0.5296635113661863,0.21164807282315978,0.08342456699377143,-539.1755501624986,-507.56272396286215
S19_epo,0.9333649771169061,2.295126909537533,0.40482084608974117,0.2896130644263502,0.47912396163237014,0.2822631862522686,0.1374250579164501,250.42108059311278,281.97975463887735
S1_epo,0.6518888664582323,2.8022588268446422,0.599049488472044,0.22677255181485695,0.44628766739883685,0.23145548003158847,0.09509615633497598,-609.1415377583656,-577.5557143246292
S20_epo,0.7554477586536885,3.489818934867653,0.5899408103946399,0.24685306287909775,0.4242157753644946,0.21776610103046593,0.09274629772214411,-1056.1229823398337,-1024.5011875279272
S21_epo,0.8353979095454553,4.263455370428306,0.8101460107238122,0.2536327182972373,0.5589035299317089,0.21703419317061143,0.10727665935149928,-500.5704510724509,-469.42789605449497
S22_epo,0.9783294835858934,1.963560116639402,0.2694061562648662,0.2531701884518663,0.5682223163594565,0.23017465596330275,0.1263892779627554,103.13817531356494,134.64210428688116
S23_epo,0.7548820595132024,3.2641824822790535,0.5772319187733789,0.2138409013258919,0.40432902122114317,0.21897133522727272,0.09001389190165124,-813.8236530881122,-782.2740616969796
S24_epo,1.1942996524940193,3.0798842645462163,0.5980771026294142,0.22300898938494507,0.3553270140173073,0.21803355823863638,0.0848060376110081,-74.57781670818555,-47.60967897642374
S25_epo,1.3016545340202152,3.0548448301410813,0.5172963977674916,0.239072334839251,0.3810396973441127,0.2335635977417883,0.09739835358441486,-164.86828031672653,-133.33690388198644
S26_epo,1.0103899038145576,3.161382345241858,0.6299235995571497,0.2652442042449951,0.3974723658578569,0.2579817598684211,0.09989722075440982,85.59458051183942,116.41115453201263
S2_epo,1.0788020883950404,3.6831922228387968,0.6901935243122391,0.23591135956274073,0.4675915845928883,0.22216432995495497,0.10870564636462043,-271.5947864380789,-239.99994586934676
S3_epo,0.8796549848273152,3.0805319305372016,0.5113036265844745,0.19538604112443025,0.412453991253951,0.1836146556712963,0.08470170725632627,-923.4253192256264,-891.9674735278347
S4_epo,0.8686135436285091,3.514953009329101,0.6627224306128299,0.28775001482599605,0.27072936968211825,0.2770493901753597,0.0696767710641421,-714.9506306877578,-683.3467892165048
S5_epo,0.83706246200197,3.7273963892208353,0.6773510050860827,0.2296236503807292,0.3484798026359267,0.2182082674050633,0.07747749707054563,-978.4198847287181,-946.8430947211065
S6_epo,0.7259957916356091,2.1269473245455885,0.37804835827147754,0.23059565013715613,0.3117199470787362,0.21773346330789944,0.06308366017006825,-1018.2563445077211,-986.6435183080847
S7_epo,1.302314163951972,2.737591016971045,0.5337615239103506,0.21657700038257557,0.5072514732566509,0.2058374971382784,0.11009498562201267,284.2073227312352,315.7204176099597
S8_epo,0.9067994923902808,4.363060101563778,0.8607969789345926,0.25117186519427354,0.40313633969217755,0.23629498487903228,0.10002546278480638,-551.6110247439441,-519.9892299320376
S9_epo,0.8469040333000223,3.193676892195638,0.5756975316550588,0.23454494591596453,0.3753343624145311,0.22002150203435805,0.07905437664167574,-731.8807800146511,-700.3039900070395
