sbj,b0,delta0,delta1,t0,G2,BIC
S10_epo,0.6827940143227097,3.7981471824738358,0.7013907639126806,0.32672832241770045,304.57608981987244,329.8375218259618
S11_epo,1.080553949531265,2.868120410177042,0.574417982329309,0.34648416320266257,1343.190175196721,1368.4006510997006
S12_epo,0.7549639096684607,2.057811310890681,0.3117628395426005,0.35305544673756317,670.9730317981279,696.2489042531136
S13_epo,1.049734788182164,4.363286167522368,0.7668575463074307,0.4638292997221206,590.0908998032133,615.3883356527385
S14_epo,0.9065533132834662,4.0382237907678125,0.7104093024938157,0.3991405712635899,555.6738439903422,580.9497164453279
S15_epo,1.0436228133834486,3.698596806534529,0.7769487087284189,0.3820733059090465,1191.7918920001132,1217.0242857661513
S16_epo,0.9971132214327404,4.555053786906659,0.9754340189983975,0.4363280396915007,1063.0520878539405,1088.3279603089263
S17_epo,1.4641404618232126,2.5381557716401693,0.48485630566230775,0.3918139265663532,1276.697135338522,1300.8005992338233
S18_epo,0.6708951692542919,2.5296800248674507,0.4600456121648097,0.29371797008099354,422.0433158370342,447.33357679674333
S19_epo,0.9284585272323777,2.2980744902866808,0.40553431927841005,0.29341285011525553,1020.5563266654217,1045.8032659020334
S1_epo,0.6522769938576792,2.801994951551057,0.599008772730099,0.22649503103154783,419.2548624719215,444.5235212189107
S20_epo,0.5786951667591705,4.03158503893976,0.7009544500282259,0.35400315258318205,-111.76441473512698,-86.46697888560173
S21_epo,0.7116647550105142,4.648460232602735,0.903434240866654,0.32624999195209486,307.52166393161366,332.4357079459784
S22_epo,0.8894125422292933,2.011037601484154,0.28182015095161667,0.3174998751157181,911.1287302002834,936.3318733789364
S23_epo,0.6351491255712096,3.6371756700674687,0.6563157232222667,0.3000607592103344,291.49333179852135,316.73300491142743
S24_epo,0.9775860631541041,3.3403178615729585,0.6606970290577125,0.40023453858179847,412.9392972787221,434.51380746413156
S25_epo,1.0734577786918393,3.349765484609198,0.594711430116359,0.3962114935176981,939.9184810987542,965.1435822465463
S26_epo,0.9512142016414283,3.28458005933709,0.6604308453143266,0.31116781747336053,972.0634949939068,996.7167542100453
S2_epo,0.8938642078888475,4.146539961078318,0.8049763740052216,0.3629295411568467,706.788563383222,732.0644358382077
S3_epo,0.7253280548226014,3.3954823037380963,0.5802377299595342,0.29545627336324987,303.63036644369487,328.79664300192815
S4_epo,0.7327934318419622,3.912537163875635,0.7555162871813551,0.3841271900236932,556.6525762788867,581.935649455889
S5_epo,0.688076322889877,4.265890972649586,0.7982105831671731,0.3305053008831834,325.5829607165898,350.8443927226792
S6_epo,0.6350123590123777,2.246622081536168,0.39678961038483085,0.30397063457657997,299.6306503047744,324.92091126448355
S7_epo,1.0266871896334189,3.266264155068259,0.6608162892634191,0.4798648691497438,1175.9758266485146,1201.1863025514942
S8_epo,0.761686767924435,5.0,1.0142067114114202,0.34560456086842894,499.71649759661886,525.0139334461442
S9_epo,0.7134178635990739,3.6081875398225574,0.6704796041257023,0.32955217326693,407.9983259018135,433.25975790790284
