,a_true,a_estimate,lambda_true,lambda_estimate,delta_true,delta_estimate,sigma_true,sigma_estimate,ndt_true,ndt_estimate
737,3.001294024694107,3.075070830802316,0,0.0,2.9710313653608407,2.9961902279112738,0.7331608560958774,0.7376807200058341,0.3865185645348188,0.3791987173286384
738,2.5655822475322347,2.7194367801873334,0,0.2959122405875337,2.0298488739185343,1.5039404883813317,0.1708091576240531,0.163955777849351,0.1170125936130656,0.1157037776139106
739,1.6236518122160788,1.7467816920811048,0,0.0260878693033259,0.6858549368540473,0.6704671177974589,0.1252708309969177,0.1213711143660863,0.3278623564926068,0.3257330556354319
740,2.674718016087891,2.79474638390607,0,0.0206218099994307,2.8867824889176905,2.917612241466892,0.7771451250844428,0.7920696848167996,0.7658504084880835,0.7538494989348918
741,2.366863777107313,2.375523810122629,0,0.0,1.7566030482180253,1.78252745075729,0.1934715233358011,0.1880149893259465,0.8074268062311947,0.80897605904984
742,2.581358528012246,2.5416624123707687,0,0.1560552319533367,2.3285050578558844,1.932295627320681,0.3030733708954407,0.2991136667719163,0.2799594182959564,0.2763152657164018
743,2.455248921886062,2.6492496608103675,0,0.1485184544142165,2.4393190714257136,2.2839991862094733,0.8452466178031125,0.8015556762968127,0.0819738017433995,0.0797138945813689
744,1.5091155935151044,1.5,0,0.0,2.427154999869805,2.4713949092308347,0.4047628994234837,0.4225917001925138,0.3851331837781919,0.3957332030542112
745,1.8115078698791856,1.7960262473851902,0,0.0,0.9003361275110312,0.8339645939084346,0.3815971735955499,0.3785266990191783,0.4165363939429996,0.418065292460743
746,2.636303388829318,2.585819966071401,0,0.1105662864927887,2.3851003457076474,1.9944041714784928,0.1062017766842604,0.107197037943226,0.808453494473604,0.8079131829730433
747,3.995643810286751,3.939864271022989,0,0.0360063264872826,1.463834336614162,1.318593630759964,0.8296065925302449,0.857398244183783,0.2652509300975333,0.2721220038516564
748,1.8877056807768355,1.898312690626016,0,0.0,1.12010449824378,1.080883883532043,0.1844860629457414,0.1834505531722542,0.5816319690127477,0.5861237883050581
749,3.673330934199064,2.8986987447054693,0,0.0,1.8498820864977767,1.3795813322662611,0.2012914443510539,0.2009037960850776,0.4340881860153077,0.4400705869588918
750,2.911869104127224,2.8386806262355293,0,0.0,0.6998266462360269,0.6218138754668519,0.9907298520458346,0.9538430510094532,0.3816074211111422,0.3788039068392063
751,2.422528051765012,2.459652422126131,0,0.009759667241012,1.0216748798794222,0.9362217803538398,0.4490185631432207,0.4316791536438886,0.7310718351376843,0.7326832734059774
