sbj,b0,lambda,delta,t0,G2,BIC
processed_500Hz_0001_epo,0.81222256977352,0.9469177771047457,0.16095269654092256,0.27000035504066533,80.18648799995493,98.22992602602233
processed_500Hz_0002_epo,0.5,0.2321635416130475,0.45766900526072696,0.29200002499247274,-9.441181308609586,8.857662605403945
processed_500Hz_0003_epo,0.5916231366509662,0.7060167345234255,0.6097477067771296,0.2718398004857174,10.678612081606937,28.496001266620965
processed_500Hz_0004_epo,0.8808217933005213,1.1375623066919451,0.5368742482418446,0.36599999606655065,60.718971608276355,78.0941932956911
processed_500Hz_0005_epo,0.5417569973695231,1.357524436880757,0.20174316772792805,0.28500598824494905,-31.856779271238597,-13.94743201332577
processed_500Hz_0006_epo,0.527944253575394,0.21873583124613777,1.026251354898048,0.42199999861462834,-11.344222197084758,6.655016484236302
processed_500Hz_0007_epo,0.5366417041667878,0.8373947170018211,0.38886017059191863,0.2767037537615504,-18.375038386470205,-0.20185925739018984
processed_500Hz_0008_epo,1.7102060686286298,2.2510644003057956,0.2696696306826095,0.15499999110602228,121.68517167063122,139.63971714955977
processed_500Hz_0009_epo,0.6582574588614334,0.5317749389126091,0.31127123095463566,0.24599999648370022,73.21302811780878,91.5118720318223
processed_500Hz_0010_epo,0.6321743980039699,0.3761585816511752,0.13446491323061216,0.2759999940797394,71.28022734366192,89.27946602498298
processed_500Hz_0011_epo,0.7932664080831605,0.7681828403144586,0.2301122149311696,0.272999997648539,87.64887980571999,105.60342528464855
processed_500Hz_0012_epo,0.6110583327611814,0.6724017115718619,0.41378111297789727,0.2460000034830938,27.83032033211067,45.50568276329706
processed_500Hz_0013_epo,2.610586531851488,3.148380839733332,0.2636743717927928,0.16000000922146537,131.9563287878496,149.631691219036
processed_500Hz_0014_epo,0.5,0.3671081731355684,0.5545465890649832,0.27070337091484875,-3.971193687826961,13.655683301230052
processed_500Hz_0015_epo,0.696323723289253,0.6383194076245249,0.4020627913341783,0.2590002345295869,66.72606750515595,84.94157507155812
processed_500Hz_0016_epo,0.8918439344447134,4.0,0.3745967411588691,0.2770000523429393,-35.92453761515628,-17.62569370114275
processed_500Hz_0017_epo,0.8943750219970834,2.11637885781742,1.1133710405946848,0.43694432276292944,-13.390400714589658,4.825106851812505
processed_500Hz_0018_epo,0.9917384741048396,4.0,0.3012215957977565,0.2774433684813441,24.473635847301093,42.56079015549726
processed_500Hz_0019_epo,0.6257035193785662,0.25290768786565476,0.28986417579108137,0.2520000228250933,78.40756232795249,96.27119480257082
processed_500Hz_0020_epo,0.5,0.5826807296732441,0.23085540330304286,0.26600001821445735,-17.576631062191375,-0.3066786080461341
processed_500Hz_0021_epo,0.532916717618916,0.06689337426491179,0.2634337016957076,0.2869999776994946,44.06728650091351,62.28279406731568
processed_500Hz_0022_epo,0.5084878311103308,0.3800482938024283,0.02978946318117169,0.2780000035003729,4.298701243588082,22.385855551784243
processed_500Hz_0023_epo,0.5301095715353364,0.01,0.26728013797347666,0.27567358945545967,51.201455152422206,69.33185312503522
processed_500Hz_0024_epo,0.5737994223492684,0.6426084571175754,1.3061964991062698,0.2681100659832203,-26.01506914158018,-8.692135780434857
processed_500Hz_0025_epo,0.8041268581988112,1.4431182438742463,0.36502470659864805,0.29199996480360735,41.919180229332554,59.918418910653614
