sbj,b0,lambda,delta,t0,G2,BIC
processed_500Hz_0001_epo,0.7646893746736516,0.6268652283818272,0.16340967431636583,0.2739999994465409,80.75774704969734,98.80118507576475
processed_500Hz_0002_epo,0.5,0.20068468104033463,0.4595950879655364,0.29200000350842986,-9.293824591033694,9.005019322979837
processed_500Hz_0003_epo,0.5794582120945205,0.5386482870960714,0.6143354326136,0.27228118531366174,10.96182574369505,28.77921492870908
processed_500Hz_0004_epo,0.802142958178457,0.7212141567160395,0.5536280903569681,0.37800003174019314,60.315264613850104,77.69048630126484
processed_500Hz_0005_epo,0.5235703738734796,0.9834416818801859,0.20491378792450426,0.28599998933776105,-31.503697462099154,-13.594350204186327
processed_500Hz_0006_epo,0.5249419490433322,0.17926574070654924,1.0290485084055563,0.4219999931884273,-11.268097197658138,6.731141483662922
processed_500Hz_0007_epo,0.5192843475474589,0.5957450807923002,0.39494245937656947,0.2779999888542411,-17.93077953598498,0.2423995930950369
processed_500Hz_0008_epo,1.0675764119259075,0.7189476296023085,0.2753550163325288,0.21828979217839511,123.99243415617686,141.9469796351054
processed_500Hz_0009_epo,0.6694836901895311,0.5317987498524328,0.30532676847203427,0.24400000729332205,72.50029466254193,90.79913857655546
processed_500Hz_0010_epo,0.6272307500071113,0.31742868185807716,0.13595267773620756,0.27600004204597506,71.36091717222855,89.36015585354961
processed_500Hz_0011_epo,0.7342373847374001,0.5079509079221479,0.23804436608343976,0.28499981632731475,87.33189694629297,105.28644242522154
processed_500Hz_0012_epo,0.6063698704961102,0.5701520339562836,0.41427012388274,0.24600000225283353,27.721966607486905,45.3973290386733
processed_500Hz_0013_epo,2.3938917575471357,1.279786137439715,0.2546937043459054,0.08549968198377512,127.54193077831262,145.21729320949902
processed_500Hz_0014_epo,0.5034511542875485,0.377554778302557,0.5503458581891854,0.2699999978971405,-4.083198857964906,13.543678131092108
processed_500Hz_0015_epo,0.682962958396364,0.5026030281439519,0.40236406277168196,0.25981034963257077,66.79598035661841,85.01148792302058
processed_500Hz_0016_epo,0.9583300992010976,2.667396505315596,0.3591331228744436,0.25799999865686357,-37.09187360892164,-18.793029694908107
processed_500Hz_0017_epo,0.7110974783886498,0.9464691654751536,1.1634316031612488,0.45686211625398676,-12.013344325525729,6.202163240876434
processed_500Hz_0018_epo,1.5870762203160584,3.491857333571461,0.2569568592187804,0.21400000825368742,32.89802622331509,50.985180531511254
processed_500Hz_0019_epo,0.6255938059631183,0.23937713660090382,0.2892329189973585,0.25200001121601096,78.33210031779154,96.19573279240987
processed_500Hz_0020_epo,0.5,0.5049843492577071,0.2337881781992155,0.26599994185407616,-17.352916951178226,-0.08296449703298592
processed_500Hz_0021_epo,0.5327995618075434,0.065007094292602,0.263496504231348,0.2870000080940228,44.06767170973407,62.28317927613624
processed_500Hz_0022_epo,0.5062572228875877,0.33468375274118617,0.03083010007114934,0.2780000194650512,4.334803261174532,22.421957569370694
processed_500Hz_0023_epo,0.5301143053302849,0.01,0.2672767949133948,0.2756726504395325,51.202019353529394,69.33241732614242
processed_500Hz_0024_epo,0.5742773301850603,0.5997984264327855,1.300512737706074,0.2680000159414442,-26.19543813363054,-8.872504772485215
processed_500Hz_0025_epo,0.7266527058464289,0.9060040144108048,0.38157183425069713,0.30299999134538835,41.32489339753095,59.32413207885201
