sbj,b0,lambda,delta,t0,G2,BIC
processed_500Hz_0001_epo,0.9567862590589254,0.44841769216471944,0.02984953465569068,0.3369999904706714,173.4383406094793,191.69573337535064
processed_500Hz_0002_epo,1.0306034438792406,0.5493315731119394,0.4385746533468107,0.23200034509915762,149.21679745224117,167.4741902181125
processed_500Hz_0003_epo,2.2662844256723234,0.9875569826872133,0.5658070142143252,0.13321595232343988,150.97319732731071,169.0603516355069
processed_500Hz_0004_epo,0.7813943308810303,0.3605780279581039,0.7310445982857838,0.4850002099223707,84.83220551857735,102.45908250763436
processed_500Hz_0005_epo,1.5173054936105421,1.9306011011244855,0.5569403885432211,0.21226364489708,54.518115264050195,72.73362283045236
processed_500Hz_0006_epo,1.7832623020592369,1.039772218895737,0.7373535442239196,0.30299999787522214,108.41445940443697,126.3238066623498
processed_500Hz_0007_epo,1.1189330993246123,0.5573047460073548,0.7410257475737347,0.3357215157500666,128.55851869734275,146.60195672341015
processed_500Hz_0008_epo,1.1045649805190167,0.5529435931197068,0.3433913210731021,0.319996583911602,147.96504410345256,165.64040653463894
processed_500Hz_0009_epo,1.4905156439211382,1.2280398205847602,0.5843233419476839,0.41450855361687666,102.08075916310236,120.3381519289737
processed_500Hz_0010_epo,2.351731236762631,1.3351547532634969,0.493823012838009,0.4140000528479146,120.84162608873773,138.88506411480512
processed_500Hz_0011_epo,2.964579420305565,1.375899745526464,0.616072870648323,0.11300022235959283,122.34533459762844,140.51851372670845
processed_500Hz_0012_epo,1.1102532518636339,0.813195821620526,0.8475628933079351,0.3409999842394874,94.57463813245165,112.832030898323
processed_500Hz_0013_epo,4.0,1.4227272669997222,0.2644827730227085,0.3279839349878079,154.73408489544266,173.0329288094562
processed_500Hz_0014_epo,1.1425687926421688,1.028794936218436,0.9772019247901795,0.39252140622770537,54.14600664409186,72.10055212302042
processed_500Hz_0015_epo,1.1835491252826622,0.5945801643630511,0.6265421571805274,0.4870031082885743,158.40799453573118,176.74786445041346
processed_500Hz_0016_epo,1.3313917799062258,0.6696289897140708,0.25087864085583433,0.34999970401296554,184.84143158971906,203.05693915612122
processed_500Hz_0017_epo,0.7253493914823157,0.825738463107839,1.623087465221018,0.5210000043794445,-34.43402603230834,-16.346871724112177
processed_500Hz_0018_epo,1.083139474174242,0.5049719355414726,0.4238275185760772,0.3969999998800885,172.9776869921084,191.23507975797975
processed_500Hz_0019_epo,2.7304523433311467,0.9348722636442164,0.17590108974745775,0.05,216.62483233333182,234.88222509920317
processed_500Hz_0020_epo,1.3569380184307902,1.2162643524258656,0.7080415505949575,0.3189999519401749,77.25178812177192,95.38218609438495
processed_500Hz_0021_epo,1.2971276982451376,0.6097197559987714,0.43285150640603365,0.23299949655916016,172.2389287558608,190.36932672847382
processed_500Hz_0022_epo,3.326856465285514,1.1653145395426043,0.27775725462789225,0.05,183.78774961465837,202.0451423805297
processed_500Hz_0023_epo,0.9292076684708537,0.667478779423632,0.46171805861666193,0.3830007206734483,112.77492207265443,131.0323148385258
processed_500Hz_0024_epo,0.7890449187338991,0.7624381793539019,1.286787600047959,0.3779410288053183,5.7976341807216825,23.884788488917845
processed_500Hz_0025_epo,1.1827063352304272,0.7273700023186263,0.5348039552817502,0.3207568310376209,128.53669202429884,146.58013005036625
