sbj,b0,lambda,delta,t0,sigma,mean_z,std_z,G2,BIC
processed_500Hz_0001_epo,0.9610041547458272,0.5370034267855546,0.032487560591687725,0.3379999980631485,0.43131956573651664,0.4997291666666667,0.11737533095149176,174.44040930462572,197.2621502619649
processed_500Hz_0002_epo,1.1252577144400888,0.8707553188305236,0.4285745729974555,0.22000000023877317,0.770987780676883,0.4945833333333334,0.15006690637475303,149.5318471007613,172.35358805810048
processed_500Hz_0003_epo,3.063902393673747,2.8003713909590053,0.5544338288737759,0.15254366115852844,1.1130536249126826,0.548163043478261,0.13374629431468804,154.33563558838122,176.94457847362642
processed_500Hz_0004_epo,0.7915433477730335,0.44075750817400866,0.7286030097403976,0.48447754301302753,0.345411457009577,0.4681463414634147,0.15779077857621557,84.82921276251814,106.8628089988394
processed_500Hz_0005_epo,1.5624510492488461,3.4725802296549007,0.5793944847828213,0.23401836254047445,0.6073519940232702,0.432378947368421,0.0841465111948225,46.85123626390176,69.62062072190446
processed_500Hz_0006_epo,2.7675706218668763,3.197855286686917,0.7109113393531505,0.2779999663791035,0.5627141876263991,0.44465909090909084,0.20419620056809648,109.72829537724078,132.11497944963182
processed_500Hz_0007_epo,1.25117679572546,0.9271165476317583,0.7241162806754289,0.31799999890027386,0.44079161075549855,0.45231868131868125,0.14140735942432409,129.1051056324043,151.65940316498856
processed_500Hz_0008_epo,1.238359438519451,0.922032545751593,0.33290760197141,0.30100000327285803,0.4466995539886506,0.45313253012048194,0.10817575737641005,148.57916130320461,170.6733643421876
processed_500Hz_0009_epo,2.278252723753078,3.6970653775287188,0.5599089450523724,0.39331441492051866,0.3723308343768469,0.5324895833333333,0.13851789857208485,102.96831932676736,125.79006028410654
processed_500Hz_0010_epo,2.9962262575210676,3.9999849935713057,0.4953015511359178,0.4720004767412158,0.30396421301049603,0.5971758241758243,0.1460764208700735,124.47157540772837,147.0258729403126
processed_500Hz_0011_epo,3.162772276166751,3.8762063551968398,0.6359192031532043,0.23253199178069042,0.6946232503421446,0.4811170212765958,0.10337710932093593,126.93046737908556,149.64694129043556
processed_500Hz_0012_epo,1.145937213696819,1.1565216482560323,0.8457262033469491,0.3430000550070884,0.3056325829451425,0.4355833333333334,0.10594098855285218,96.23498789941947,119.05672885675864
processed_500Hz_0013_epo,4.0,3.544577822043692,0.2830101144300059,0.40904589381195244,0.4059411400375953,0.5442886597938145,0.18468574360794146,185.03045355355619,207.9040084460731
processed_500Hz_0014_epo,2.0325668102549264,3.549966152393063,0.9089054709342335,0.33340354355616836,0.5118634580678788,0.5295056179775282,0.17016219120813217,53.16037489749216,75.60355674615286
processed_500Hz_0015_epo,2.554529327414385,2.5746669390130608,0.5801778864158369,0.33999999742069636,0.4973544843552453,0.5445408163265306,0.14920805692855474,159.28993476460496,182.21477215795784
processed_500Hz_0016_epo,1.9743690898003905,1.7507170201547932,0.2343559829707505,0.27500001318123807,0.6069079484377535,0.5055789473684209,0.1417709478773767,186.68926201642495,209.45864647442767
processed_500Hz_0017_epo,0.7403294939121161,1.042062595889342,1.6179264708617973,0.5200000261487079,0.27928057523824745,0.491804347826087,0.12351309023483008,-34.056251572375366,-11.447308687130164
processed_500Hz_0018_epo,1.0719524363275834,0.6101191619719104,0.4239515287164743,0.40499999701180284,0.4090848833820718,0.530125,0.18869779907301515,174.27008339504428,197.09182435238347
processed_500Hz_0019_epo,3.584511046810807,2.717172152919229,0.1727013526407883,0.10179324917106584,1.3142604245597704,0.49753125000000004,0.14189292861204947,224.69044529392065,247.51218625125983
processed_500Hz_0020_epo,2.277005314498405,4.0,0.6617597199029293,0.28019851646003874,0.5537387058764917,0.48633333333333334,0.10406969680033998,74.56039523087803,97.22339269664431
processed_500Hz_0021_epo,1.7835950251553498,1.4640373160790698,0.40836197887299164,0.17500001440055607,0.8631078072404404,0.44719354838709685,0.11293191954890498,172.94568043251505,195.60867789828131
processed_500Hz_0022_epo,3.96845066439801,3.674605824681822,0.2838181736721121,0.1720000044287035,0.928752490136423,0.4796875,0.1687465624649877,193.38391091978676,216.20565187712594
processed_500Hz_0023_epo,0.9969496344386085,1.0196402496366042,0.4553570203646553,0.3770000095927363,0.35105452596738157,0.5105520833333334,0.11703523951069776,112.91780512345844,135.73954608079762
processed_500Hz_0024_epo,0.9626250411548966,1.6027791877461641,1.2348594476603405,0.3572436760620853,0.29312747212365187,0.3937065217391304,0.1168203319523914,4.596319826876423,27.205262712121623
processed_500Hz_0025_epo,2.7668880019251154,3.586740149882597,0.4855973354969772,0.20337190949828252,0.7271926438954834,0.4364175824175825,0.10811319525183728,126.46968721200582,149.02398474459008
