,b0_true,b0_estimate,lambda_true,lambda_estimate,ndt_true,ndt_estimate,mu1_true,mu1_estimate,mu2_true,mu2_estimate
679,3.422128960296108,3.4918944371903664,1.802760582412924,1.8957352723985383,0.9617304285731936,0.9773484536692358,1.208310052441195,1.231518531770996,-2.398089691759769,-2.5359962230757844
680,4.825155948802147,4.776831942069675,1.7725127637425302,1.8321765202370428,0.9059820415169322,0.9246114425290308,-1.2324049860824795,-1.1895834388168398,-2.846801516495065,-2.912860410214643
681,4.369974196609661,3.1779385417818307,0.8524357397980074,0.5903328636978793,0.3882385328710946,0.5403264522292172,-0.7470090328427594,-0.7356975966657734,-1.3151848347901698,-1.2821496761030504
682,3.411081778595752,2.712190428362948,1.7887558343945436,1.3888096455159613,0.6667019559514133,0.7272882547210444,2.4372980520196736,2.5958200087636896,2.884805843214396,2.8859196158635534
683,3.805667039257832,3.882294700407425,1.7128914595826523,2.0,0.3917491714727473,0.4101605569950193,1.9085904210889253,1.8107393375515564,-2.986169757967372,-2.991885448675889
684,4.4063096837892255,5.0,0.1470728963377989,0.1892422603473903,0.5266694110149395,0.3931380544118818,0.2618441721597171,0.2883063762711445,0.9406300732357492,0.9407407693921588
685,3.371109330116498,4.950290551386419,0.686372178098775,1.131262775266872,0.3935850831071753,0.273320306833779,2.038075298669135,2.066861106175311,-0.4996594471993474,-0.504077949533767
686,3.276389462886602,3.499670394181547,0.2782388034660937,0.2810445735533597,0.5412264323680827,0.5227965662043399,-2.7644478561232617,-2.929144657686744,-1.039227417646318,-1.1300977763997142
687,4.967009889130258,4.944990759291974,0.3972783587747885,0.3938055668654993,0.9959817825422084,0.9942713105976638,-0.599239439925269,-0.6278419401553064,-2.7646772583639283,-2.7655678332429
688,4.955349694231032,5.0,1.8488951365441035,1.9540360247643445,0.9899298743320056,1.0,0.5632656843976409,0.5763237400998641,-2.740822193790856,-2.829223945879374
689,4.509185737380017,4.976838999136667,0.8100677225860752,0.8647400281771455,0.4045751809425725,0.3650433743828481,-2.6105244507850056,-2.590931564883521,0.6896695138990576,0.6817411120903895
690,4.193545950602391,4.793242006852681,0.7433734900565944,0.7964954584633077,0.9902195384103112,0.9210738798349096,1.3057304744771738,1.3480767239070688,-2.5383150045399847,-2.4522815984015187
691,3.95313490425226,3.110809481885496,0.9341287008767988,0.5915446631504907,0.3523449693064016,0.411012334803393,-1.0788976475602787,-1.134281443299122,2.4056261620575867,2.5264128283733265
692,2.302219450919586,2.0,1.3524739812051252,0.8749728312066781,0.8236272793923883,0.848195763123309,1.4175598243910967,1.5178404364869935,1.7965902267838163,1.8978076793518537
693,3.934583408534648,4.580643394473428,1.3201954126086797,1.5649623604601397,0.1997634905616114,0.1771486711273789,-2.7485571398997832,-2.760497423431823,1.2052415607302185,1.1949763011714716
694,2.961260874403738,4.8747431827348935,0.9588885152233698,1.9999992038782093,0.5932529437642355,0.5046723444578705,-2.615891825160491,-2.478944626438484,2.7459488216468846,2.5620179020892926
695,2.706573092992236,2.525458030251977,1.609720673156672,1.4318265429085817,0.745608745327338,0.7696087560107331,-0.5922591309591645,-0.6020269067001428,0.2629120528627988,0.2411295867922049
696,2.143634251697851,2.5557655671009702,1.4677978659137525,1.812171522407695,0.9034777189733368,0.8720814056734337,-2.110678588266695,-2.0331803325771203,1.4620844028123294,1.457359331950824
697,3.125778033393079,3.373182966736574,1.9981302041425908,2.0,0.8928407933303827,0.8843686741925331,2.173196931615488,2.228735966355216,1.0688140513252808,1.128019235819516
698,4.045743668227127,4.940194121716271,0.5670877393424265,1.036495378141598,0.1805168956563043,0.1700405175614483,-2.833908664631069,-2.7318128714183643,2.4948323426287926,2.48857052890596
699,3.918972565013004,4.297973850437614,1.224706195050917,1.4988884845007366,0.7470710998635716,0.7429900547275686,-2.904438676323009,-2.832349561710441,-0.7528437647487727,-0.814684123427862
700,4.022680110895508,3.722890775957535,1.3714851715405287,1.2320037186124877,0.5227260096957158,0.547317781980331,2.86643322933326,2.9163953162175047,2.147440198151539,2.231298967383608
701,3.207726549823457,3.0814596986590663,1.9178981641800408,1.8647253518286395,0.5422421770236796,0.5622822511150831,2.4600960191615897,2.450142397487886,-1.853581065204668,-1.9348606995285285
702,2.844197899480717,2.2867298378063827,1.9771232901658828,1.4605056771161795,0.5079571238131049,0.5451181143308903,-1.4747888121559265,-1.472185711934329,-1.7849766047626612,-1.8092972918807304
703,4.508626420225131,2.7908615966780657,1.9152186023741224,0.916584288048317,0.265746982601812,0.3605702705023808,2.024189794666353,2.187173541793288,1.5927744828136323,1.741946401707675
704,4.922783316664835,4.651579795732182,1.160167648294792,1.0818126363732434,0.9428418778152892,0.9745623817431048,-0.6564333860163105,-0.67846134162008,2.981406457704833,3.0
705,3.137042305981279,3.713513694874162,0.5709201264077215,0.8194234415294909,0.2974351668220707,0.2681366299899107,1.6727512956137136,1.6694022881746329,-2.281423897601321,-2.2711569060916723
706,4.046346757167196,2.984923179032111,0.3123649652148263,0.1308074536679485,0.4813892414213262,0.6846611701379913,0.7980708529828102,0.7611611730067656,-1.0763066903888376,-1.1325743087071318
707,3.54247884358139,3.367518241270685,1.9113297327991563,1.7113892175761305,0.289968861526596,0.3001107234222256,-0.4869226627699363,-0.434497337712071,-2.057161529841739,-2.0470615952527766
708,4.031841343605674,4.84939648247785,0.3929222684854959,0.6470722654248414,0.2963579477365552,0.2547014770415978,2.0266625463061185,2.025884639832761,-2.371416658307119,-2.257239210981357
709,2.104425653958465,4.627321621050393,0.295115660280182,1.6528987077932018,0.3625213047639651,0.2000994338265688,2.2678481094106395,1.9738495267366087,-2.763994056538219,-2.4921161959199365
710,4.769805395334809,4.752312661817294,0.1661526768860096,0.1450828548886517,0.7805298121330047,0.7948377345282405,-2.6709502724468064,-2.743521126946465,-1.5327048324916532,-1.5877681713874805
711,2.228443498794269,2.504671746425006,0.8257291386179199,1.136286242119532,0.821366339975997,0.7953493875966435,-1.3013068194834465,-1.192886974938968,-1.9334654023859008,-1.7328519635982604
712,2.42064119727985,3.851919523916151,0.6557170765226384,1.4765188742801267,0.4169934266179308,0.2956149103545559,-1.2448602045700727,-1.17777611091875,2.424841380149912,2.104625033578465
713,4.294824911029672,4.41165369356637,0.1978609163275382,0.2361465035257378,0.2029657089851961,0.209363905058948,1.924746535311597,1.921122861681352,1.8682142965564268,1.8151055997963128
