,b0_true,b0_estimate,lambda_true,lambda_estimate,ndt_true,ndt_estimate,mu1_true,mu1_estimate,mu2_true,mu2_estimate,sigma_true,sigma_estimate
631,3.745069230216721,3.6234413004049353,1.4432009447320342,1.234944587858923,0.4327481125358497,0.4173504357391265,-2.147528262398468,-2.2005639143814264,-1.5586352644355266,-1.5780675326897706,0.9090939665397546,0.8919262742272478
632,4.658220875603093,4.327608248457333,0.256075175329656,0.1968185355023924,0.451077608293825,0.4907672962757313,-1.9263304384588484,-2.001365131642112,2.451673176657298,2.496195923322671,0.8865663376189843,0.902321247274034
633,4.836193316135275,4.856508260948576,1.6741018848894142,1.6335054000734912,0.5993583205692314,0.5948999496521381,-0.078857019105575,-0.0837144129398418,1.542871967679112,1.5276625496393277,0.6765166239990135,0.6490355813031138
634,3.686283387276376,3.4727051657159933,1.0693011676015294,0.9826374684237992,0.7149249594236353,0.7321877901814177,-0.2341006999340862,-0.06852873862178,2.541733785989228,2.712403860534177,0.841321918452796,0.8397427926972598
635,4.0448086077634695,4.143633334573273,0.264224392468009,0.2536429092769959,0.7783281233336108,0.7629630953494534,2.948444728478283,2.99999998432423,0.7277421031659568,0.7329773258830927,0.7905227605422008,0.7860997286144762
636,3.041198926774097,3.064688986177212,0.8865661475238643,0.9201895385279282,0.2741978603210821,0.2730326431711279,-0.1411872572110817,-0.1361715950952421,-1.4345044389106263,-1.3726207837985784,0.3540335198198071,0.3419018950446497
637,3.826075271287684,3.816718180661821,0.1287123470243829,0.1160654799734505,0.9644826172516658,0.9159820775564664,-0.0192802974778827,-0.0075739858087391,0.3758410437410244,0.3913317070153554,0.9962000595566012,0.966938111389234
638,4.8862307164210215,4.779389667824773,1.2776374885552384,1.2475877984348935,0.729318872990348,0.7353672511109455,-0.5454468674873896,-0.5646224333137221,1.472621958739352,1.4618330841166711,0.4774047008862457,0.4834307411186301
639,2.08686464432793,2.122442287718464,1.1994786803807227,1.312281342236567,0.3863284491343096,0.386561925065367,1.8754442355852567,1.8675127103200169,-2.5180580658617493,-2.2898341048768547,0.709979917930588,0.7238822956039449
640,3.61636454029924,3.808000399797512,0.9182208458290696,0.9434364309281428,0.0519495799326941,0.0522303793011319,-2.9074720740269675,-3.0,-1.7086478248424686,-1.8153105787057189,0.4948616018970971,0.5370804293110694
641,3.688794866838243,3.779290698856886,1.8752399254952443,1.882875045930372,0.4297841276911244,0.4306171034738355,-1.938694840276688,-2.077709654948379,0.3265846334350855,0.3999012063189409,0.1531067711782584,0.1628376420120397
642,2.429899713158446,2.3081909622066767,1.9507124775234623,2.0,0.527644168713572,0.5489443699459289,0.5974269409245068,0.5752789277288379,-2.6777201248479243,-2.77602418911819,0.3577333811499066,0.3561373613439283
643,2.480758281047427,2.393227121862328,0.1739911818475226,0.1365834814138587,0.3690488099435365,0.3838266201564931,-2.068081516018943,-1.9907455478358569,1.3880863041127254,1.3451055837843733,0.8627490182458202,0.8465472648274134
644,3.136918377607988,3.193078800281781,0.2373272991502025,0.2579232973878768,0.6540845803058242,0.6475842567359256,-2.074943708637461,-2.059764083123883,0.1442696244323928,0.1541856846863961,0.3724726454879632,0.3835139685177476
645,4.8587714042539965,4.914261348848987,1.487424977617131,1.4726240255932763,0.3959999761329322,0.3921137374574112,-0.7765906225612422,-0.7915844691459384,-0.5883940493603854,-0.5682319902046764,0.9694413632852076,0.9523831793251024
646,4.735093695346164,4.999999981070161,1.5285718645033255,1.5211436875112525,0.3705412295416865,0.3690658632463383,2.3645321433670343,2.56967617867246,-0.4529608492621617,-0.4589464213525357,0.1656229637866023,0.1541208129001602
647,3.171788700592506,3.1519464167241784,0.5383096348072599,0.544941161700871,0.1740235197354941,0.1738083331392577,-1.5594196429202192,-1.5233430132308878,0.5103813578162584,0.4568391901907566,0.577471590813906,0.5911425776482193
648,4.683308484640451,4.770557785432722,1.9874108727785524,1.982934925277962,0.6034546982614779,0.6061687833322922,2.698455018209228,2.688593472738525,0.0008705070790211,0.0675921229687128,0.139746257596078,0.1367336837479419
649,2.5321680765071872,2.515507122455407,0.4504684664797137,0.4624421685604061,0.5936342284105829,0.6081252837451911,0.9979039854871776,1.0066374947860617,1.5661037253206846,1.6128281961077555,0.6431672236262814,0.653901122103071
650,2.1148829281892554,2.023973067236907,0.3124338840132591,0.2192431740146457,0.8405949756717371,0.846134399824746,-1.8147391237389103,-1.8244766365467715,2.278964589489408,2.2883207969859423,0.9842589550133262,0.9776431569021942
651,3.946761129194439,3.994763763722197,1.9970422136059296,2.0,0.0501609201297499,0.0509152261916298,-1.877518375837704,-1.8573587165253445,-2.0729983717832314,-2.139084362197902,0.3646475989394052,0.3885982796989943
652,3.741096214529575,4.157855072181251,0.966992579544584,1.030388060524569,0.6195204362230846,0.6022616697279148,-2.589860370073793,-2.6741400938764377,2.658666205103144,2.6689301984428924,0.6103518642876182,0.6106093817920655
653,3.6347932999859855,3.781538717503796,1.2557162551723993,1.251706586297006,0.5283444396004909,0.525704245501164,1.2665199761758723,1.2452824603963446,2.4872044448899926,2.4866178478505763,0.4680166356516276,0.459380810194376
654,3.2423358271738243,3.6841499429737534,0.846945605049519,0.8971820114958624,0.6767046949795136,0.6366972059214623,-1.1104604405012042,-1.0410440285899163,0.2949132467702888,0.2687132825143102,0.6565735155304072,0.6549763261776091
655,2.019019450628088,2.258472381399906,1.677865684975935,1.752288081909256,0.4759552052034276,0.4647282898177159,-0.2397886602843564,-0.2382335681054708,1.8951399449995463,1.954358769611036,0.3234923219488199,0.3155268761684009
656,4.513559968708158,4.421162743896537,1.550844190879441,1.521946951337997,0.0550624458850426,0.0551171181315471,-0.6613497830029045,-0.6708640348796497,-2.813895116787323,-2.773365135271681,0.2509998782404776,0.2361833979553778
657,4.53994501340099,4.999497897899648,1.5405215883880543,1.6093355437103845,0.4309246982677093,0.4052954630431884,1.8623302406115017,1.8776488765702768,-0.1386380784018823,-0.2493124718595078,0.784411303442627,0.7434133938161812
658,4.7739764818061925,4.909905975713878,1.229376353369814,1.2683430830051616,0.6547730531805358,0.6514787090286669,0.5206581963621186,0.485748333953725,-1.884885356874654,-1.8601982914483863,0.5124315451336531,0.520332184318957
