,a_true,a_estimate,lambda_true,lambda_estimate,delta_true,delta_estimate,sigma_true,sigma_estimate,ndt_true,ndt_estimate
843,1.7258470691716497,1.7121910545823191,0.5750972086763343,0.4268906956849922,2.181506784544964,2.1349628507632095,0.37482801586320136,0.3879289487778167,1.1394238792618117,1.120306236976892
844,1.913533948646453,1.957234590964506,1.6849770297472224,1.6746820082165281,0.988037570903976,0.9833272809472202,0.04333174590457342,0.04152390329676693,0.17621414747216935,0.17655415908497268
845,3.215299090148031,3.179999078308434,0.6179371448884814,0.5975320940809296,0.08215366270608038,0.0960296689511096,0.20307579439002396,0.19386894358339296,0.9165513718521618,0.923206653278348
846,1.732442502967937,1.5478124631956758,1.7823257580234746,1.5758383210569142,2.3193886446127308,2.3832671993656307,0.37853731886448894,0.3863353546533498,1.2676769392862692,1.2866769415493367
847,3.9337693949030643,3.8157866278362915,1.7465983929452982,1.7856048916008824,1.9745990427469562,1.8695254111322652,0.27125188686921664,0.26222515925484297,0.9271257724053362,0.9396368646341575
848,2.357571238106721,2.668117157087554,0.7725796471761609,0.9652635693206849,0.8655386510797187,0.9104655253409506,0.1179860222852503,0.12088412713232412,0.39211485762105774,0.38861075957498303
849,3.8935007434889326,3.7083985680635094,1.5232688613823444,1.389628422586874,1.212128153941454,1.2195363710363187,0.10250028832522343,0.10120409301505481,0.408441221451497,0.4110955828675973
850,1.7516669068935569,1.889653450959331,1.447677313813689,1.8349317979740687,2.4190964312228878,2.2550120658397024,0.05598048048356775,0.05329081882380402,0.19832821212345847,0.19707263055318539
851,3.250218040481612,3.3193211806359066,0.5149880378347202,0.5847322198527025,1.4046023293411898,1.4078863883165194,0.3028084970077985,0.30194925759978114,1.4485708284312293,1.447286069622714
852,1.8660094272011363,2.2077757079566243,1.6832943377036982,2.0,2.6845288298597447,2.6148969315535138,0.3714965981191791,0.3866698552360997,1.2193840400618616,1.1953746969641612
853,2.815491199493443,2.7552303911088027,1.4150322026406847,1.289866337591004,1.2255064211665223,1.2041574776498867,0.19664786811497512,0.18645317498714112,0.9344450947211173,0.9315118481178081
854,3.120204889708954,2.6755886040586874,1.6592183853717966,1.251475785508416,0.1713751444264341,0.08906214969133533,0.14573226731111752,0.14754834627662414,0.6527321170242073,0.6544733767357269
855,3.0328364847128464,3.5285548551455577,1.041781039940074,1.1742087234479837,1.4712228260227385,1.6599894192078537,0.2255030235996823,0.23140177311533167,0.9401839645074447,0.9275979540447687
856,3.482747377830899,3.2883640372235967,1.4934866393977995,1.2061901136312387,2.0267638123909975,2.1342621395017813,0.2835888170852136,0.28510743347581674,1.292873759499843,1.2938736915155857
857,3.6474933984533697,3.3574829137650974,0.8388226158174382,0.5084062265019513,1.9446915773478097,2.121060383555596,0.40769617936300595,0.39226525457143946,1.4874451143136815,1.4804451729469292
858,2.596778264659699,2.5551022197657978,0.24944230405007273,0.1,1.8403245151466359,2.0956814546377798,0.2194876843817856,0.23532865218689372,0.9070729160518897,0.9141375588884519
859,2.2865764765127867,2.091920863353922,1.4940996881579685,1.2155987846015315,0.7173213605181925,0.7223186717160756,0.09681788466322147,0.09924011367723615,0.4836808804847427,0.4816808791533031
860,2.85007627062714,2.9491214130123846,0.1506204037287177,0.2248594261093802,2.992415662209172,2.999968363559401,0.4089881939079416,0.3989366832750959,1.3038056409747143,1.30565737677972
861,3.0969595752628014,3.200723164479008,0.3067248222820599,0.3146305338687582,0.699441164587796,0.7206409403773356,0.34376176516444673,0.3482538511605072,1.220773408968231,1.2271182769154476
862,1.8441418711865132,1.735918596354147,0.7583952709435722,0.1,2.135678143403175,2.7655868544947153,0.11688101241868917,0.11504712226373444,0.5148338058129297,0.5088337976308108
863,3.8624058422974152,3.9329249059834708,1.9981833275880514,2.0,1.3111417710993125,1.3025020087692127,0.22176785805722685,0.23010160734636503,1.0712605392969525,1.0683635788971375
864,2.045491308735795,2.1091037067959717,0.7811284520514165,0.6837623549075077,1.805945017060996,1.8085268898133153,0.22702017239791103,0.20964540673813092,0.9630795158334029,0.9504167031354525
865,1.7045336364873256,1.740705905698516,0.2407570876772846,0.1,2.420162404055532,2.554184841494528,0.28310142063342186,0.2787052585132047,1.4015658530995154,1.408528085724032
866,3.8785131872316985,3.9498214030538996,1.051172803862105,1.060139892656798,1.2328238680180017,1.2045829251348854,0.19215898999833317,0.18327574484402048,0.8658763626653243,0.8760415950370637
867,2.448365134368526,2.1045766403487876,1.999267286598516,1.6302869141084542,1.39840171548131,1.4005144390031856,0.40589975755496793,0.4063608093499829,1.3191126614417579,1.3519183285710035
868,3.5938502494652136,3.506285880544085,0.6352630318366762,0.3658478682234083,1.4061647985644306,1.6221311983368838,0.386465683435191,0.37153032413997,1.3826744793395553,1.3535614487821563
869,2.3143706177658347,2.399416823650521,0.9211003140594425,1.1945532584140581,2.0121198650208445,1.8423354759019395,0.38590568399402003,0.3733178555361165,1.388180608273846,1.3951799611708422
870,2.720753012526662,2.558544101436979,0.7290423300578217,0.6760368991583776,1.5397337941243312,1.5344322715487757,0.2606703323572058,0.2712429853968666,0.8846021228334653,0.9030912961922039
871,1.6164701590658361,1.6627708753695594,0.8556671587532262,0.9113592440686892,0.137721136357973,0.15136170761091716,0.1414404478363323,0.14350333578295812,0.5267379114604847,0.5253745253929691
872,2.4865628093609615,2.4527007960939815,0.5518238012656039,0.5769208159137342,1.0696076045242835,1.0698452030531864,0.1613530879843856,0.16014597413415674,0.7186089117994258,0.7249902352938227
873,2.9385346708108373,2.8428016456278304,0.5050884907041936,0.4095023919845524,1.3179990400268236,1.4444015625885978,0.17461114546244724,0.176175455844899,0.76625945477612,0.7796571345856212
874,3.4987094892561887,3.635062679901651,1.4200734414053027,1.458946700089379,1.451322654551836,1.4965353308631866,0.1567473940954055,0.15603301439814898,0.6541612491942719,0.6507767113572843
875,3.293488742116731,3.0481945817870573,1.117700409308273,0.9251053890631483,1.1866402680006307,1.1502927657874842,0.31877744190884144,0.3247388192484445,1.4138964477468772,1.4198968179496396
876,2.5942897509728744,2.7268518822931602,0.6679249352302307,0.7988492207546711,2.8445458527560885,2.7533836011834927,0.25772081541756225,0.2485434642275634,0.9089702646946193,0.898336124959621
877,2.4655245387912457,2.2870234703374632,1.4701600628548208,1.058138752974287,1.7295105613476833,1.8195273145785327,0.06122717181161633,0.060829601042560674,0.28335003724354246,0.2835068648825694
