,a_true,a_estimate,lambda_true,lambda_estimate,delta_true,delta_estimate,sigma_estimate,ndt_true,ndt_estimate
0,1.9260419102235347,1.766075534081752,0.23722700202917202,0.16329500419120535,1.0217168287330118,1.0057862424404158,0.8981888797256092,0.08691450256902843,0.11862364648317511
1,3.181720300547313,3.580851174774602,0.546505026203731,0.6643187564010877,0.3969001915732885,0.346339802551322,0.8885516423233097,0.9829261493660388,0.98351325521045
2,2.9428868107043065,3.0120562911172053,0.8398415147179088,0.7419149613125381,2.843110258255661,3.0,0.8418340384846643,0.3775384613320916,0.3775384404831564
3,3.777759212534644,3.96926463661223,1.8772769740596158,2.0,1.3521874602622783,1.390073348362818,0.9100861018376889,0.11688191791013369,0.12288182387877135
4,2.2610132116482102,2.6715144325292077,1.3032500724620042,1.7443572476814464,1.691144199545334,1.6824963402572877,0.9367797198739944,0.21073283613944022,0.1787328121576684
5,2.5223338502094053,2.6771616351025354,0.832386923035134,0.9249473349225267,0.7820729922051656,0.7399672677425098,0.9094803422662795,0.110900992112872,0.10126769793217578
6,3.435428655215323,3.2709298956006547,1.6227276115328815,1.491674809462702,0.5634167070247249,0.5260411720318234,0.8929827083864108,0.25895358779742733,0.2529535850493094
7,1.8997887926780817,2.996621683208306,0.973280667109651,1.6373411810725496,1.912181268499951,1.9196232346366524,0.9141748220811673,0.9713467642985216,0.8693467821303975
8,2.492505759193658,2.112079626122936,1.3257244228376386,0.976098751028779,1.8891332561163257,2.053495803046035,0.8912923380839226,0.39596008137386307,0.45495987025552065
9,1.853642948331391,1.6877380974836793,0.1901881448310437,0.10006541338116343,2.8300488589308985,2.780596431565577,0.8709107445943978,0.49957790445067024,0.5165779860176163
10,1.8719466439577923,2.085871154319939,1.5828826481025382,1.7362133298649236,0.46275067438912154,0.4466246852351745,0.850661689101474,0.9903962300291418,0.9753967981953192
11,2.262621686584008,2.555753246678178,0.5392373837636083,0.7683872798594794,1.562862858141774,1.4590336602997114,0.9189332519861237,0.7224647698200299,0.6914650230270006
12,2.1186779615893445,2.373021003955129,1.3612760610084054,1.489585467043256,1.8364645141874125,1.7034075784162666,0.9464372340051813,0.2409350412686995,0.2259350726212956
13,3.5276954564908296,4.0,1.4042192363273625,1.9927421888679517,2.221123664775476,2.0618109928865436,0.9116777096198931,0.6990328254003835,0.70903257183373
14,1.6391396622952317,1.6054791276928997,1.4950878046715086,1.4924253940060355,1.8525197059241068,1.73481857972847,0.9235874437895778,0.09152237168327665,0.1035225646622511
15,3.6909447419825905,3.0281876431889567,1.267610977442467,0.975768216561345,0.753013980742598,0.7745796932738102,0.8801369445380481,0.5716585224127761,0.624658938450822
16,2.850802242681011,2.9951622952103114,1.6924808082139038,1.6560481814545231,1.1377574824628338,1.1060748059848269,0.9105095431007129,0.8820739963787934,0.8580738108062942
17,2.9404158797255304,2.2346156710395397,0.4203857087506519,0.10000158455469954,2.8545406250894736,3.0,0.9335898555197907,0.3840187316428069,0.4650187256837129
18,1.598328079903841,1.6267262166451597,1.561530595162289,1.4338369924622665,2.7124862333513575,2.9416132177406435,0.8953851954817653,0.8164934197808559,0.8194934233479575
19,2.3284318844943064,2.7097457761516086,0.3649533918139868,0.444453570117354,1.105194166296454,1.1255269424592114,0.9375003267708398,0.5311133301800859,0.48411323275907675
20,2.004314738530818,1.6128945836429338,1.3108599169024513,0.5814183229306298,2.707706002251415,2.9999993530612166,0.9330118281242212,0.7874954142674429,0.8244954600501408
21,1.6346836930206339,1.5,1.3564560115556243,1.105064672175068,0.5022886391014181,0.4482651058843659,0.8809271922464851,0.6968849864932599,0.7178846214704913
22,2.2643893406079796,2.333756567813099,1.0376220799809632,1.03267448886917,2.9839971766180526,3.0,0.8776386181192645,0.6872132569566932,0.6862132496604878
23,3.633048533977101,4.0,1.4449025595018965,1.485712475063737,0.2012599475810617,0.1666585643338173,0.9109799219711351,0.16245438636385368,0.09725197323737146
24,1.712555836468091,2.174233552474419,0.6957225760646738,1.1167639816775088,2.121136724643539,2.0065786323308648,0.8823633911118587,0.4590597445775259,0.4110596832860146
25,1.7722030589552127,1.7256916648404452,0.39860425735733146,0.4282941908711229,1.2404740623300714,1.2409100146229841,0.9492405733866756,0.18671995094857702,0.20972046354105495
26,2.317814789186641,2.443268030988892,0.2099671147884563,0.26410123287183224,0.40773288053090206,0.4071039614044406,0.8878676016968788,0.6627929395340408,0.6610772306732017
27,1.9869156383013449,1.936018647041458,1.1867380066453659,1.0610735291830717,1.3288295807442445,1.2885090679031541,0.9461499247695458,0.09029092440313922,0.08529106167289482
28,2.4847374458901474,2.2084883644693796,1.8559292528581726,1.479266524465985,0.7310831350946562,0.8385385825286918,0.922834713957874,0.6195339145006664,0.6295338250822073
29,3.216584952004457,3.2574637538073175,0.9687616136597345,1.0494439816214425,2.2293169061850135,2.22410163083225,0.9045876479113297,0.8490570013883203,0.8660570144239017
30,3.4538249348862973,2.885737587081408,1.2324751830286516,0.8431935142405369,1.6655777090495758,1.804055329335979,0.9164153807600309,0.460017715584076,0.5150177809478822
31,3.9847071414508304,3.8791037135736373,1.0489650845257281,0.9864436208925756,0.11442648841083813,0.08928588131958275,0.8983849899636249,0.45429011749187503,0.45229001206635766
32,3.2554514186418224,2.7393812534970414,1.2131795345339023,0.9059997555773068,2.508014954417778,2.528582477160342,0.899055793986504,0.5768043674693066,0.6198044338776842
33,3.939974107896166,3.4530853705058844,1.079626736400599,0.8411175790595042,0.03722445338738789,1.1370567355645413e-07,0.9403913954032941,0.45197863267874533,0.43597832146496185
34,1.5011394579015913,1.5,1.5083681987209072,1.2830573939762795,2.428312279482386,2.7947836913232273,0.8811186943091591,0.13224109402625842,0.1526448571510445
35,2.830584960373998,3.1397177135360113,1.3977640672883291,1.5930290700321281,0.07712173758584417,0.10708625887122587,0.8796627214768642,0.7150776214136195,0.685900973437609
36,2.905258219242903,2.145136441671402,1.834532836696696,0.8964129405914427,2.539520938441429,2.6428460952160444,0.9094414868929885,0.9625710846949876,1.0
37,2.592498861316247,2.2684274251129355,1.2467707032390822,0.8736727126494283,1.8427982487229153,1.9361758845402814,0.9321610042257871,0.3430811191012618,0.3660811504186443
38,1.8901028143997824,1.9117047372294909,1.2723088786765964,1.3491307163596962,2.61477853163013,2.578398782655823,0.9189872687364484,0.826720339110541,0.8257204100684874
39,1.5927321033751753,1.5,1.9242965966349859,2.0,2.741174093964865,2.812031131009266,0.9079510698420785,0.19289984283602418,0.22389981640410817
40,3.478913824641203,2.5130835545119026,1.0328471844445566,0.6166396738375858,1.0238045137675087,0.9963682903740909,0.8655506331835318,0.07012425106809313,0.13958228674977652
41,1.5442514491373025,1.5171503109368532,0.4982524436386324,0.28538804336914714,2.856835615020886,2.9999990493298423,0.8829321898595195,0.9778002147068601,0.9788002233155269
42,3.352087809990514,2.3642295069691643,1.842226166732687,1.0640030146356658,1.944756998699876,1.9833201035266348,0.9819859207780522,0.2822478276407063,0.35224757942635543
43,1.7232196689914727,2.1039979758696736,0.29643086189447854,0.5388716019936721,2.3144977494227765,2.3449087427291033,0.9220522857215245,0.3011151986411807,0.25511529908483627
44,2.066622932886321,2.3784091645976817,0.7240862850972358,0.7594928712258984,2.1176176528223367,2.165483718249333,0.8923525970847229,0.7930636727368131,0.7530632447339645
45,1.7222632575494132,2.6263964948999394,0.4393476971857225,1.0810388196702583,1.7353437182676734,1.6051573272803115,0.8666653713670314,0.3279708284621865,0.23197080424618843
46,2.80549260387522,2.7013960733541835,0.6323159948297227,0.43778243601407607,1.9247103441569777,1.9723407861248263,0.8878719320841101,0.05452616171098635,0.05
47,2.515347686510842,3.648135636682904,1.1030725514329183,1.7750371262023996,0.6152451390511874,0.6410936579563669,0.9133914042095247,0.11670869749687526,0.06470868774175147
48,3.2496430305868844,2.772070351443506,0.6575082228061385,0.23986892234171311,2.6637693448786646,3.0,0.8568764793071041,0.6922543072035595,0.7402543287452518
49,2.148648919722497,1.7346281354985114,1.6691779526988606,1.153528686258644,0.5856942135873607,0.5618016753691186,0.89740928375811,0.6032313362239529,0.6533169581252065
50,3.107099544750377,2.7187619767668414,1.080529932780229,0.8228580883280702,1.0856337051508835,1.0828642726089186,0.8733737063247903,0.2170976456210116,0.23209765223319287
51,3.8276832095843174,4.0,0.16520799257597218,0.2000649476834028,0.5986186660456758,0.5835753275236005,0.91810620547478,0.1357628716659445,0.15552142377869413
52,1.9370419827974588,2.029580076748857,0.9701486755178003,0.9517705427637424,1.2151282910605907,1.2559630010305052,0.9004729553099345,0.7961390974926839,0.8031389402123845
53,3.8521864340264256,4.0,0.9203650375418327,0.8793532289731402,2.3598258894745783,2.433794727231259,0.8963054975442344,0.13637420574211398,0.12237074325495634
54,2.39218765175646,2.774395019856199,0.29696736898482434,0.834625437815954,2.830262627999591,2.3575347349721674,0.9236589218025124,0.12302662066686375,0.10202694757379323
55,2.598329535417241,2.698819923887071,1.0389864817361563,1.0952310167863366,1.6939767029551154,1.7445573945149826,0.8958424945281154,0.6598579569664447,0.6698579892633794
56,1.5107388522618574,1.6666428816496435,0.15784769299621024,0.22351510598160082,0.2966619992839291,0.3095761949338633,0.8351179726869942,0.42757753376843327,0.3953147329239416
57,1.8362677167347192,1.7003899589687115,0.17344998374265813,0.11486945769796274,0.7242389765303417,0.7040375820466072,0.8567630174456844,0.21158432160351257,0.2418090733365683
