,b0_true,b0_estimate,lambda_true,lambda_estimate,ndt_true,ndt_estimate,mu1_true,mu1_estimate,mu2_true,mu2_estimate,sigma_z_true,sigma_z_estimate,alpha_true,alpha_estimate,sigma_a_true,sigma_a_estimate
38,4.8775575447659145,4.891943648755287,0.9021660473167106,0.8637160811704807,0.7814915630864344,0.7784916295563793,0.8237523142168797,0.8611022082195761,0.2511873744794786,0.2834292044728417,0.061576382492185645,0.06650543725042823,-2.1542131319308817,-2.149480567993465,0.1734597593235623,0.1752459649029492
39,2.732125426012785,3.0260897502651707,1.3273940832999753,1.7282566393212144,0.6326821284173697,0.6396821487375609,1.0911802332226055,1.2130834497562861,-2.1090596724665813,-2.0764741153874025,0.1809228334913297,0.1771486870885609,-1.5807138421399891,-1.5880623056875678,0.09490755503863688,0.09573894970393798
40,3.2372253249881298,3.2093304748279197,1.1090006440183782,0.9875569874022367,0.5559256628339548,0.5576737892796768,2.685975780828639,2.803459742334355,-0.5948725286396073,-0.6871209547039032,0.09360748542084756,0.0912530802349476,-2.41891445391737,-2.418178720065093,0.0778010206084779,0.07618084683367048
41,2.5739791229309263,2.4019542550524307,0.8564754145218575,0.6946543601927442,0.30587104704492973,0.30187102795495513,0.26487075298502294,0.27465106451883414,-0.09685268220707144,-0.06370529084840486,0.1514417108916618,0.1618450022263263,-1.8471248273531213,-1.8371203809069874,0.1511356884455538,0.15862035146680672
42,3.025449607965789,3.4201960115261834,0.7191497077149089,0.9270277148838137,0.5196187785698491,0.5213149640422292,-1.4489307510485492,-1.4603765445470014,-0.8721432456728047,-0.8900968628181278,0.09819107233814112,0.09136391496863627,-2.390144549652268,-2.3939816574501167,0.07493011726637282,0.07307880159139313
43,2.0798158440963803,2.0905872644959413,1.0238299767578574,1.0348994895044958,0.6711592540291947,0.6747799519921486,-0.7284360244513184,-0.7048757657124443,-1.0500037419787291,-0.9822828070300704,0.09910998324694761,0.10774517744013436,-2.1755639030915694,-2.179569538458908,0.1423668179313862,0.14342153230337573
44,3.631190781424306,3.630502032173493,1.0584942354302902,0.9849655523934066,0.4227956874722785,0.41426652136003206,-0.8463106414102157,-0.8749325356406383,1.4920308151818504,1.4635259374595846,0.15614559853944265,0.15009848702833498,-2.4435301582891533,-2.4452689076471312,0.07290642377887024,0.07152571779295372
45,3.610404762427526,3.997154027131551,0.6949978076009892,0.8404500137187098,0.3373075578233323,0.3348286275675825,2.924201897389085,3.0,-0.14201146042256396,-0.17063238434423308,0.19148065508758674,0.2,-1.5187487986448884,-1.520677625503222,0.058875152677380534,0.05837043652930024
46,2.1297639152198924,2.130474026280122,1.3340722311258761,1.0749552156129991,0.4137720274388286,0.4132936083723192,-2.3802488205340984,-2.4218985528902763,1.4386618612339495,1.4676001421863867,0.10090621801897404,0.10189795630273535,-1.9136830998677365,-1.9146874961896618,0.06780367400520157,0.06846078369149539
47,3.4091899811286472,3.3262675067582985,0.20181748373836325,0.154838032994126,0.37823040205379876,0.3789777780809394,1.7502644885928496,1.8659347998010283,-0.3026198748084863,-0.3254045835624392,0.0815347503206665,0.08647922031349836,-1.5013514890219781,-1.5,0.15691413764675005,0.1636394275663712
