,b0_true,b0_estimate,lambda_true,lambda_estimate,ndt_true,ndt_estimate,mu1_true,mu1_estimate,mu2_true,mu2_estimate,sigma_z_true,sigma_z_estimate,alpha_true,alpha_estimate,sigma_a_true,sigma_a_estimate
68,4.322798694188862,4.903647937263921,0.4246342478293733,0.5544289366214751,0.4226946564589992,0.42116593785145817,2.0179705976853413,2.0614366736969494,1.7893959166118099,1.7180933984198932,0.12984909325267335,0.13500069637969708,-1.760074661549367,-1.7693282110670665,0.15252297988081237,0.15175642921825264
69,3.90792606827692,4.746563707155698,1.7183704557890214,2.0,0.332400170753832,0.3398217483244005,-2.1587005722585477,-2.189621230998301,2.374988211966882,2.450565489219594,0.10571926127918413,0.1013927840181319,-2.2682732501418084,-2.268765943735528,0.09830828176958616,0.09770081827624236
70,2.9019054978288157,3.3977816043336198,0.8387940888942814,1.1142767143665844,0.16782884440045429,0.16127757592261108,2.1715724678392534,2.1512217422482784,-2.441684189551798,-2.3758207085078884,0.1605749790743399,0.16385743618171364,-1.5095324840230524,-1.508544996130098,0.11128760124789479,0.11041649362284518
71,4.481285760737764,4.929595527129747,1.365402032819758,1.5230404405234377,0.9578784323099162,0.9693525288035123,-1.7321479558292874,-1.736649234360618,-1.3162497476106758,-1.320482024819059,0.1754589655352524,0.17000566030784364,-1.7919885167462184,-1.7929196924997375,0.09487159781523923,0.09180910964827553
72,3.9017398239359546,3.9487852535285706,1.9075342009449627,1.9164720964917767,0.12339731705338325,0.12720227759604266,0.7694155587173677,0.7469138871302701,-1.0254161174839798,-1.0822706105187472,0.10624424826076373,0.10552662615201919,-2.4683553227869246,-2.46513936496624,0.08650880400925734,0.08265607729103816
73,2.1299058084147693,2.4143528527322626,0.9642023508526855,1.1318045265419723,0.15023619589352558,0.15064324374748767,-0.9592286684806737,-0.9015964896018919,2.0736561109781952,2.1283825179560076,0.06018658738879584,0.06016774936752459,-1.7594200864162715,-1.7608920440024507,0.06041924018159215,0.06218797641046833
74,2.0083705461209584,2.3775769930653015,0.16387697228015674,0.5101040640930848,0.8946024628533692,0.8832765376086377,-2.7739975402197494,-2.5455993537157426,1.9865235233231404,1.9735982201618258,0.13421027725456833,0.13936868990343154,-2.0218434479926177,-2.00761885322458,0.19660632772096662,0.19363724129158966
75,2.258280640489975,2.303179685521593,0.12977883241544527,0.18378887325165527,0.9123797029658566,0.9194407074416552,-2.2531566903932587,-2.2166303042641955,-0.37686854775392886,-0.4388009355243855,0.11421097803677849,0.11972468327554942,-1.5402719954871602,-1.5498991714929455,0.19181201794237523,0.1946394451724275
76,4.280366777141024,4.787595312375911,0.7020142267597721,0.7574925663083627,0.7310719750369549,0.7235474355211096,-1.4333209201729393,-1.472005113834658,-2.230422787192799,-2.3957841729556657,0.16672413694123145,0.1609987722798556,-1.6101997207117837,-1.6106985744649076,0.1023507222457507,0.10090837706389433
77,4.232490738334884,5.0,1.6670939706337737,1.8233613371883286,0.3840795424761743,0.38620696433782964,2.7768765968529614,2.922320298040394,-1.2802227077503243,-1.4036896415199758,0.06558847977315918,0.06878155684043119,-1.551392235467664,-1.5449868441460612,0.1347406955787793,0.1313361004495682
78,3.4246370827003845,3.630010411654308,0.7867959532163761,0.8380596983303877,0.767161674987877,0.7577054500717897,-1.1202020309902272,-1.0900351071414431,-2.945533440997394,-2.9925565924927082,0.11650656752250856,0.11700096720366496,-1.9319029508524026,-1.9344417818888608,0.13508754177389365,0.13152407700289853
79,4.487276649069798,4.508520189026628,0.16744167200324928,0.19905555675317946,0.18798745223085664,0.18421991349180794,1.4882982559803852,1.3759270782206188,1.5119360404623112,1.461928971785158,0.07492480221340161,0.06641084057110955,-2.0190628047197423,-2.0241224995244287,0.17823577093268836,0.177122946494981
80,2.572521484677574,2.7175054878030114,0.368722069990887,0.40872533723192006,0.6114312488204046,0.6090925926871479,-1.4343859797141603,-1.484784761833966,1.8031924253502811,1.8375497298938772,0.05983429164207069,0.054706839019086656,-1.8779587731078067,-1.8844594568403712,0.08325240041355601,0.0824629630554673
81,3.234525975257373,3.097277659064666,0.12994804451994743,0.11552482371063819,0.34031763226118805,0.3417827507354939,0.4157607701639938,0.458020222206516,-1.2330879317870125,-1.223548764843481,0.1776124284607733,0.17242416082689493,-2.4565313567761953,-2.4616807952590527,0.07923659111344139,0.0756759097729662
82,4.304735804402766,5.0,1.8786455833473505,2.0,0.9257475390795747,0.9373850838567951,2.596153721653539,3.0,2.526464726324956,2.8908618382905535,0.15844005814998943,0.18831840126348506,-1.5881469123726508,-1.59106171221329,0.11535467881214631,0.127598273368985
83,3.102988897994843,3.238121098248205,1.890602358421759,1.9418435924438104,0.9717708584985101,0.9758928659558993,2.227106317278557,2.272187433890436,-0.3157836875053075,-0.32302922554599584,0.05526470096513809,0.06270388826538452,-2.2704229393621365,-2.2643550906432717,0.1665099436482737,0.16392525771599514
84,2.0879251995624277,2.1673832003322384,0.25381974872972124,0.27009441074453217,0.43090779436813476,0.4289092476342745,-1.8102274949119963,-1.8480158438993999,0.1917223299631674,0.18787772149473836,0.0637007654843195,0.05419574703447574,-2.0691473263492726,-2.0621625089828433,0.1427020284165576,0.14869666891910266
85,3.4612130488386534,3.8320985967369854,0.2523494535621145,0.29534609160561165,0.9314278478799783,0.9218535870318482,1.6476738442966445,1.670791724328309,-2.8180619437898415,-2.8977333221428463,0.0694987588015789,0.07394309680907846,-1.6963677333964977,-1.693070105615127,0.17050838697707746,0.1676693874019412
86,3.169623438306264,3.492568429711535,1.8753833258315133,2.0,0.7267312910956044,0.7185598052374369,0.9765247538771225,0.9531012086584075,0.8443847940185043,0.8772491984837814,0.07652315059380765,0.06334297103513976,-1.9336233254757786,-1.9373322595551277,0.1224163722637264,0.12639898109871764
87,4.141271371517274,4.169608089762834,0.1347010725608511,0.10819345025262017,0.36441418425002586,0.36090602266064914,-2.6479341787492467,-2.694261668020022,0.16153853258512085,0.13542014619401427,0.11503473198469635,0.11861612818625565,-2.0115702807595177,-2.0118985819210105,0.1388398173556308,0.1368028473227558
88,4.182272863928434,4.692052672803422,1.3226436989872234,1.5326905963317046,0.9016819722125876,0.923033291496127,-2.640396744296895,-2.778516313553628,-0.9117734933553356,-0.9240771534185379,0.1944187267984988,0.17654720792210177,-2.163560206758576,-2.1680867062157043,0.19011996475601237,0.18581050672044258
