sbj,b0,lambda,delta,t0,sigma,mean_z,std_z,G2,BIC
processed_500Hz_0001_epo,0.6725529875181069,0.01,0.05582711669145594,0.42563614587052395,0.2824801313657832,0.4997291666666667,0.11737533095149176,100.5589188470432,123.38065980438239
processed_500Hz_0002_epo,0.7226857384400464,0.11866779806568427,0.49226040024110873,0.32005768793018585,0.4879683873119515,0.4945833333333334,0.15006690637475303,206.11506181043393,228.93680276777312
processed_500Hz_0003_epo,0.7955426809595939,0.19248979146986014,0.7537808367098,0.52693368011231,0.23055191416237533,0.548163043478261,0.13374629431468804,90.44981614869245,113.05875903393765
processed_500Hz_0004_epo,0.8232906538386134,0.42685732627943906,0.7283702668533996,0.4719998785024172,0.3398603746600867,0.4681463414634147,0.15779077857621557,6.68877623364718,28.722372469968445
processed_500Hz_0005_epo,0.5431412354319353,0.26497518588666474,0.8416973746037422,0.41382455437231885,0.22690776780795197,0.432378947368421,0.0841465111948225,-86.46644654695244,-63.697062088949735
processed_500Hz_0006_epo,1.1910020364783553,0.7076964715278335,0.7952649412441144,0.4196405235655852,0.4472080032058036,0.44465909090909084,0.20419620056809648,64.17092897170134,86.55761304409238
processed_500Hz_0007_epo,0.8333329885313892,0.23295209998987665,0.7870083183718197,0.4152894825361297,0.33465408137502917,0.45231868131868125,0.14140735942432409,49.799600938228096,72.35389847081234
processed_500Hz_0008_epo,0.7973372482817908,0.20686269524114984,0.32712858468237016,0.41057796717879813,0.2619793892537292,0.45313253012048194,0.10817575737641005,44.74682098839211,66.8410240273751
processed_500Hz_0009_epo,0.9748650903224555,0.7944211880485559,0.6029233555573352,0.5165131730107744,0.26408066337454533,0.5324895833333333,0.13851789857208485,-0.10058141129238121,22.7211595460468
processed_500Hz_0010_epo,1.3090865055713945,0.934294862178685,0.5467931759679218,0.5922499801377283,0.22492257624631284,0.5971758241758243,0.1460764208700735,11.174368337871808,33.728665870456055
processed_500Hz_0011_epo,0.9138726467762904,0.4665821378569574,0.7148735418301457,0.45745338160438975,0.20930247458512832,0.4811170212765958,0.10337710932093593,-22.949339725638115,-0.23286581428809683
processed_500Hz_0012_epo,0.7767605660081273,0.3454294470127585,0.904914653317855,0.4228392105428906,0.22338734882446767,0.4355833333333334,0.10594098855285218,-76.5694772629193,-53.747736305580126
processed_500Hz_0013_epo,2.328228647999361,1.1772015255478727,0.28991251408456303,0.5117266779887566,0.34101902980232457,0.5442886597938145,0.18468574360794146,113.2042570311977,136.07781192371462
processed_500Hz_0014_epo,0.830103170759751,0.6136580919860314,1.0202543150601886,0.45739986050225595,0.34134001272662795,0.5295056179775282,0.17016219120813217,12.974546149373628,35.41772799803433
processed_500Hz_0015_epo,1.0060849725845233,0.4496894303202045,0.6268709114904999,0.5379999990712458,0.2702647316629644,0.5445408163265306,0.14920805692855474,56.2367133461891,79.16155073954195
processed_500Hz_0016_epo,0.8819007949908041,0.2881485523968458,0.25885173506006376,0.4814017559480117,0.2707591775380946,0.5055789473684209,0.1417709478773767,82.5020491149922,105.27143357299491
processed_500Hz_0017_epo,0.8449560114590857,1.129619621817484,1.5883525633675637,0.49888549753606454,0.2691775116356979,0.491804347826087,0.12351309023483008,-151.95872842323803,-129.34978553799283
processed_500Hz_0018_epo,0.794290251536767,0.16978869609049474,0.4424091594329091,0.4874274018265257,0.35896204347227906,0.530125,0.18869779907301515,129.3473793877921,152.1691203451313
processed_500Hz_0019_epo,1.0443707197603112,0.32111067533077126,0.18746042356681886,0.416838329772613,0.2993099414871316,0.49753125000000004,0.14189292861204947,168.82812187219523,191.6498628295344
processed_500Hz_0020_epo,0.752192160978168,0.6087642611542207,0.7660515788536636,0.47797461975649796,0.2282758693965841,0.48633333333333334,0.10406969680033998,-17.469405791694022,5.193591674072259
processed_500Hz_0021_epo,0.8041226929286873,0.1604343048560645,0.48420259277082117,0.4034151098948835,0.24948734209757126,0.44719354838709685,0.11293191954890498,102.78032759594471,125.443325061711
processed_500Hz_0022_epo,1.1440860377169308,0.53021154671313,0.3329585175774688,0.44014764865642153,0.32723924347277117,0.4796875,0.1687465624649877,119.90990271357943,142.7316436709186
processed_500Hz_0023_epo,0.620746031316091,0.06312351564386513,0.4887951521302564,0.46209141385657776,0.23338497077553153,0.5105520833333334,0.11703523951069776,5.143693437410695,27.965434394749877
processed_500Hz_0024_epo,0.7798846373298162,0.7460430101763527,1.2923584755533934,0.38074942240085036,0.28821128439097465,0.3937065217391304,0.1168203319523914,-137.9807556662257,-115.37181278098049
processed_500Hz_0025_epo,0.818348562477182,0.33557660799474714,0.5310854637689938,0.4082199059290808,0.24748823964573086,0.4364175824175825,0.10811319525183728,1.7892911198558084,24.343588652440058
