sbj,b0,delta,t0,G2,BIC
processed_500Hz_0001_epo,0.7391738616935531,0.057172939380443766,0.381203343653114,180.82860173250825,194.52164630691175
processed_500Hz_0002_epo,0.7481826361840845,0.5121699339411647,0.2865682596863193,159.07407139022675,172.76711596463025
processed_500Hz_0003_epo,0.9537071312025078,0.6879519453431271,0.3147218610436834,190.0629142044115,203.62827993555862
processed_500Hz_0004_epo,0.6617547921686427,0.7291413221712427,0.5068667525105891,87.92920907775576,101.14936681954852
processed_500Hz_0005_epo,0.5216879163260555,0.8500193091426211,0.41058542615415095,82.63377416593696,96.29540484073857
processed_500Hz_0006_epo,0.8540555030653508,0.8867492149755137,0.4412875412474846,132.56627352483255,145.99828396826717
processed_500Hz_0007_epo,0.8001211919409659,0.8258049531267132,0.3956832832751331,138.2089234770516,151.74150199660215
processed_500Hz_0008_epo,0.7719562929993288,0.3122612369392539,0.3845683365191418,158.9694931843575,172.2260150077473
processed_500Hz_0009_epo,0.7081756139470999,0.5892686881009663,0.5370000216509222,129.51347723610843,143.20652181051193
processed_500Hz_0010_epo,0.7567442820572519,0.5918747608095527,0.6790599008748226,147.1327845496262,160.66536306917675
processed_500Hz_0011_epo,0.7889160647667902,0.7390611401996774,0.44716158011059587,151.35332460717032,164.98320895398032
processed_500Hz_0012_epo,0.7116486388521848,0.9467221356677256,0.4188008018847648,104.9790038775458,118.67204845194931
processed_500Hz_0013_epo,1.0015595750657524,0.3501603573311215,0.5690690149739215,253.9114850035978,267.63561793910793
processed_500Hz_0014_epo,0.7036484686819439,1.06837796998023,0.45352237729178113,70.29151635244509,83.7574254616415
processed_500Hz_0015_epo,0.7735229026753141,0.5988224793428818,0.5767757590620227,171.31613585014446,185.07103828615618
processed_500Hz_0016_epo,0.7916403328399177,0.2595365787688966,0.47507645260764064,199.33116715732524,212.99279783212685
processed_500Hz_0017_epo,0.5643398252729062,1.6947522309301926,0.5452229163336992,-30.516894716026297,-16.951528984879175
processed_500Hz_0018_epo,0.768785803390144,0.4513315189847972,0.4710863113355167,181.14776291760228,194.84080749200578
processed_500Hz_0019_epo,0.9405176349037381,0.18908276673443972,0.3723722044861038,256.98563686560453,270.67868144000806
processed_500Hz_0020_epo,0.7332261397221438,0.6918317766552361,0.3830460120394721,112.43952350333402,126.03732198279378
processed_500Hz_0021_epo,0.8464387277819775,0.49844935728509354,0.3147222182277849,187.94904909762155,201.54684757708134
processed_500Hz_0022_epo,0.8903475993075443,0.3555480313950362,0.43514213655738265,228.19388926668879,241.8869338410923
processed_500Hz_0023_epo,0.6769807101375745,0.49809119462046714,0.42477428635361214,122.91087274089652,136.60391731530004
processed_500Hz_0024_epo,0.6110806024394274,1.3616654058148983,0.40072321633096997,15.045318572093226,28.610684303240348
processed_500Hz_0025_epo,0.7685770671614429,0.5344612660353227,0.3844232926674964,148.29542455454805,161.8280030740986
