,b0_true,b0_estimate,lambda_true,lambda_estimate,ndt_true,ndt_estimate,mu1_true,mu1_estimate,mu2_true,mu2_estimate,sigma_estimate
0,4.879774263178706,4.235462320611436,1.2749790594678894,0.9893338663305422,0.14045811189302682,0.1674883913585157,-0.7049041617883083,-0.7728647287473761,0.5407234091741555,0.5230373093827181,0.3110597138904251
1,2.8788059168992466,3.138262609596205,0.9860874638362309,1.1546182080507883,0.6862358165903685,0.6842425266680277,1.6043012266450407,1.628562258680081,-2.929008289748851,-3.0,0.3093297214781019
2,4.314922367793808,4.223807445793879,0.8057984315527944,0.7950446953357981,0.5656227447043696,0.5731554548620775,-0.39398038602468066,-0.37927777893142706,-1.262060432086296,-1.272867223965602,0.29802631428745413
3,4.360204003672684,4.167183230500268,1.5672170485381258,1.4000290758630698,0.5637880065738415,0.576567726271278,-1.0910641636709428,-1.1241794727930523,-0.0005752173813919903,0.007619818708374976,0.3012252689474336
4,4.582241124561258,5.0,0.7468005681278368,0.960874753583725,0.6152208994769436,0.6434575947231407,-2.420786602372002,-2.578411235864815,-2.7615818665974388,-2.922618681996184,0.30861531362089495
5,2.163044793069904,2.358946009480214,1.176507047256436,1.3624783184147313,0.9784008052580719,0.9617622546383969,-0.006454990027716656,-0.06988477054418966,1.007342876134166,0.992587264495501,0.29948760315334105
6,2.5698947877698948,2.499471693708058,0.6347358506568609,0.6267392260185616,0.2720947018176603,0.2857429177013998,-2.481942629091954,-2.482651919439819,-0.7841927682731209,-0.7698200652112457,0.30009699570769777
7,4.879028422080396,5.0,1.2757627131527647,1.3160168454379109,0.5221818701748464,0.5347408219578911,1.702715375611126,1.6753230726008592,-2.9144148772667435,-2.987835127306728,0.3042971805647826
8,4.302134592077813,4.847209074939251,1.552151702805411,2.0,0.11759538735846267,0.11938094508267069,-1.184320895966316,-1.1733353075597805,-2.8179184862546407,-2.7815698088188228,0.2988162205542042
9,4.592155227700128,5.0,1.5320238373384656,1.539534944542983,0.8212121414348745,0.8043827924946255,-2.697719548576393,-2.740766888383102,0.2686069419145236,0.2629125332747446,0.29539693692631847
10,4.654773763913039,5.0,0.9619220069132914,1.0311012042495127,0.4999437940031756,0.4974934114650312,-1.5901795586247462,-1.6466412894432123,-0.6331572342955911,-0.6388829446517981,0.30329345811588027
11,2.587524030483891,2.7508507932769604,1.7986252532577618,2.0,0.1922804708003966,0.20834331113195081,2.0628910147242623,2.1806249243722364,-2.4937448996792764,-2.769017999605715,0.3235879086896039
12,3.69595069431894,3.726319050931063,1.2947100799710334,1.4458628706246568,0.7134923744712128,0.725492500984374,-0.8596100594168601,-0.8893375730819786,2.022779011029838,1.9204106608930502,0.2919472099120222
13,4.605760155048463,4.556102093549168,1.445995153671624,1.455129905781451,0.7735606561241163,0.8009221155860614,1.6465773369963628,1.741661261834814,-2.670508236599968,-2.779931989055577,0.2859061638975845
14,3.1627588512080758,4.091427354021112,1.405381227280297,2.0,0.4890849473147299,0.47840801074329564,2.9071716880203216,3.0,-1.861563611682872,-1.8930092026662884,0.31572629524615875
15,4.384902729314142,4.6349301503708435,1.8839767577077884,1.9999974239172285,0.42541681375712065,0.4224662373498807,-0.46631474846212817,-0.4440665267402096,1.48821911400497,1.4615558530693242,0.2981401499378228
16,4.047318046967955,4.212735931946291,1.7786982182294133,2.0,0.8424501443462739,0.8612620988671438,0.07397729885220827,0.115793380894208,2.9833742056831323,2.961195346572278,0.28977304430592526
17,4.004348102653743,3.837931483374831,1.0175176595229112,0.9331207927641862,0.8647397566698865,0.8553371285545976,-0.45550499548246814,-0.45999940117928473,2.7880173833407564,2.735551998164712,0.2923364359075803
18,2.635611298907388,2.565098523433794,0.2740906568148464,0.21234580529981456,0.3174250137992422,0.31153949451192847,-1.357187330749643,-1.3727581499451365,-0.10019051524255485,-0.0815253434086368,0.2964134076803603
19,2.4965799292360193,2.57808322550543,1.855796047655402,2.0,0.24327576554536517,0.26683062340856867,-2.405610469833758,-2.8757614815000694,2.956917276991351,3.0,0.2945118196067348
20,4.54703128918132,5.0,1.6861699279701596,2.0,0.22254582286772642,0.229719480285686,1.9729353113827683,2.0042453273534937,1.6573449482474827,1.6497958378113426,0.31230591677005637
21,4.077807097535129,4.098581094431847,0.3520148230016841,0.3775186265635352,0.9883384577113169,0.9929278599961263,-0.6998697506116633,-0.644368337155178,-1.5830095361045509,-1.6094770417694462,0.3058989761863895
22,2.73381043233004,3.8440696313688543,0.41725085582370064,1.1082801252549213,0.32306604885130974,0.2872390194756501,-2.1209840838775875,-2.1305597912151013,2.702334125851141,2.6254971167727064,0.294635519255136
23,3.241779609008108,3.0607605977204915,1.751451477457035,1.6756110506419981,0.26265909367048457,0.2826590219272054,1.0827385499505537,1.0065504601551125,-0.3946229512781425,-0.4394323280135414,0.3020907135121509
24,4.909604268985654,5.0,0.6426204541956821,0.6247935434022656,0.21982125954860593,0.21116495890774933,-1.2399011283756103,-1.2169564807516555,-2.261009981739398,-2.2868566713918432,0.28758899623033257
25,2.648673870847046,2.6351199248898816,1.3107648532163938,1.3601816960633983,0.1611064145356034,0.18040872053659257,-2.6415234586684866,-2.7526199048069806,-0.4218175480589894,-0.5509059641453068,0.3155384393506629
26,3.278063608705403,3.693110086188741,1.7580744338093244,2.0,0.3648567163624018,0.36662023213389033,0.9669741821870665,1.035223786923985,-2.6604525759338,-2.7525002755283556,0.3050801983086779
27,4.960489449178364,5.0,0.516768404722902,0.5396611785264833,0.5152038558091676,0.49376271221962253,-0.5176990763879641,-0.5008979274962087,0.09169955524471196,0.12150328436861536,0.3048323326375502
28,2.8687461545047914,2.4552808782922497,1.9579641047124343,1.275785782465761,0.32810501130319325,0.34914990768248133,1.0850628164034406,1.2173063547295984,2.0533394784544488,2.266294042885799,0.318737089446242
29,3.197641421026208,3.7959985034685317,1.5744493974137983,2.0,0.41821114534411896,0.41253432344609137,-2.3185444091409773,-2.465588181988192,1.3589865735863467,1.4173192441972207,0.2961298977604059
30,2.024100439962122,2.5036617723640076,1.2188702143500898,1.7433795807915287,0.7006191461048933,0.6764958583864764,-1.9345732428282392,-1.8255153247336067,-0.32257266572094756,-0.31298890964868686,0.2942287582546164
31,4.160535903521458,4.081718338850153,0.33557005793923306,0.3568436354998759,0.1757531133200581,0.18572513109202726,-1.498035791876341,-1.374047002149012,-0.5491212695549228,-0.5094013673084893,0.3005132563514666
32,4.238810273432917,5.0,1.0742684627286416,1.5012946360224575,0.7352059464482523,0.7346313774167074,2.8579543987933036,2.788205608915058,-1.5530123241351466,-1.6082086084259455,0.30205901580173894
33,2.2880578407979657,2.274970306058404,0.8843795254404554,0.9573485776517247,0.7137371135332924,0.730118796193397,-1.470515062592268,-1.398720104841178,2.3454762751487546,2.28951337554582,0.3059305554302405
34,2.982866176953683,3.0819242181490507,1.832166189461497,2.0,0.13665643668480906,0.1529782418566982,-2.534298431206956,-2.527602942676095,-1.5545200411786952,-1.678049608531066,0.31036149096145355
35,2.5235771871528807,2.7163192214009704,0.2322748679922006,0.2569178652568384,0.715779013627885,0.7295907676627285,-0.8182377340172073,-0.8537404838303956,-0.13766975305166285,-0.12238592508112102,0.29477976674021483
36,3.1336656243959506,3.067885890625442,1.4097809388047533,1.4487619954194928,0.3855406902445376,0.41307622690257384,-0.9778148158148872,-0.9908479549622393,1.9644669250284166,2.1055485650220453,0.305374517601979
37,4.497780328678047,5.0,0.5435796932207739,0.9028443147757483,0.19375792464641636,0.22206140354109427,2.525043265828162,2.292118328950112,2.056568043875427,1.9253371290838293,0.303018951071099
38,4.106358164334558,4.502404274094495,1.4017352745077327,1.5932462210488882,0.462000213076395,0.46519909110260743,-1.835245806862714,-1.9061731509259865,2.231647253437626,2.332110226279213,0.3079952111752842
39,4.80011424217775,5.0,0.9328771182940485,0.9769190894532315,0.1954459250112324,0.19890250208508362,1.23769077694817,1.1921196511342471,2.7483145199000347,2.770220259017842,0.31484038341760445
40,3.263834723272417,3.4403414676603403,0.2929525749832731,0.36323645653706504,0.37322738613890455,0.3694431119492457,2.970386836429321,3.0,0.7819503296561605,0.708218319823851,0.30171008967183555
41,2.6645682096308123,3.3499250501921667,1.4893829909985914,2.0,0.9714303367167902,0.9510007223476544,1.4662086774576402,1.4785197153838516,-2.6434249099419524,-2.7114205442001644,0.29758590444126876
42,4.503971307792343,4.498677418588658,1.170950351681892,1.1308410549813133,0.6314961993580614,0.6252780328747309,-0.2669534708216217,-0.17726094864802266,-0.4848454103277613,-0.4106935100652414,0.3016745011352888
43,2.6103177644293143,2.703674273126761,1.2262402004021027,1.26281355407537,0.2828969871436416,0.28242816109205204,0.18294883460733047,0.16757899705580395,-0.42385024889185674,-0.3223722308672503,0.29540484175270826
44,4.1630428105565525,4.284719869049367,0.52604429740966,0.4954479725700114,0.6520990409451728,0.6494407484288004,-2.614105940410057,-2.7018257491962636,1.9717719739594923,2.0623940568302976,0.30591299689632445
45,3.9485325394881596,3.880371701745428,0.4582500995464266,0.4132861269139919,0.29482489028967723,0.2905658032107468,-1.5696098128419367,-1.5591996517440672,-0.7196881953253649,-0.7184545141389651,0.2815742384293506
46,2.2933483906470076,2.532200102644537,0.39563290287933456,0.4384726737868555,0.682133251051861,0.6650101213228394,1.5020335087041032,1.529001618636284,2.467454243594837,2.51386802312206,0.2945010792463564
47,4.06033209947643,4.267870744260749,0.937791052423306,1.0069441670081236,0.9474710250225366,0.951623403666091,-2.737125435756091,-2.833425028536035,-0.073233440630452,-0.015021078723676778,0.28869857463761806
48,4.24061399127579,4.525463452033113,0.5526314322748314,0.5660613601396065,0.13821916293353256,0.13193002636864698,-2.2522161870813218,-2.368494680181404,1.9173100497111786,2.0247023358880836,0.2952344546895739
49,2.7363685833768687,2.7383914151486364,0.25642405483375186,0.24240178664329645,0.6246915497014277,0.6276144873856484,-0.8975160362976609,-0.8916931594365256,0.4310093137313933,0.4436473179010558,0.2994728134170725
50,4.022925391246881,4.34359675200736,0.5676700957356717,0.6715167690589356,0.1370784782712378,0.13647324299548963,2.1510056405908107,2.140628867366071,-0.6057400745491364,-0.5683845466953187,0.3041296867203239
51,3.3046249437782214,3.791058682457386,0.15560713924221004,0.3457018231285463,0.6430616177821461,0.6506211874635435,-2.3907480222183795,-2.4611264804144946,2.6698463990765986,2.7383572187535887,0.3067200334405686
52,2.2505040974031187,2.2504137494201926,0.6257036657117923,0.7295545030134042,0.9942427575907838,1.0,-0.08809903519759898,-0.037843789011052786,-2.4470919551484753,-2.3174942097966107,0.30251168088201985
53,2.157907500380777,2.3117153060275295,0.9102110204487911,0.9959380912011909,0.429537885403855,0.42052182907860675,-0.1847522467069065,-0.21450917366356012,0.496800921992838,0.4790770347231017,0.30404583046114847
54,3.080318952837224,3.5658583275490816,1.3385111409036656,1.9151196473734826,0.41858768524095946,0.417846393824278,2.693319048042272,2.7039169934776055,-0.17264550599070927,-0.199322439248136,0.3090697393859052
55,4.259725210650393,5.0,1.252531249564607,1.7777848725490544,0.41723153281698083,0.4254528550574988,1.7730047362761179,1.7298398924810543,2.197818400027769,2.114923266701581,0.2953000224948513
56,3.0981178726322827,3.3243506831777463,0.1949114148027452,0.32125811382854413,0.36128623789859143,0.3372246898529659,-2.054762451636213,-1.922112019216856,1.2896392763558808,1.2227866726035455,0.30264973068867457
57,2.9589793135956266,3.0862099630782764,1.0843738664704725,1.1094019812724425,0.269204365370631,0.26828301968468476,2.8138869318267883,2.8135845178131937,-0.46844979696872024,-0.5644842302678854,0.29610288460584544
58,3.1330615297476836,3.4135155642935016,1.3131351826299589,1.6797424279287627,0.6997044837097157,0.7159871513756616,-1.8466566269574856,-1.790167419330198,-2.4295013529601617,-2.3753492624361447,0.2998347861528053
59,3.012550813928966,3.032747997536518,0.5123459164810115,0.5506856280937579,0.7084378949931113,0.7138585520369505,-1.0537777083532047,-1.0225815864836627,2.056530895929611,2.0526727276060686,0.296927656523151
60,3.2927853426346987,3.3472157268831557,0.3011480937527062,0.37217029977856136,0.3259432048649479,0.32624356860309534,1.1469360037420826,1.0818306391534982,-2.4052782113652356,-2.29532038875187,0.3069694505417404
61,2.804871557094618,3.1746785074781845,0.5485573099187862,0.7064875836426368,0.4326266280478193,0.42039748117469744,-2.6944826814003298,-2.7069518109451405,-0.7454279841491604,-0.7098832763443926,0.2936253924989044
62,4.871736308771505,4.999869480990552,0.7060931953703129,0.7659139935278612,0.543931924342293,0.5415815600989711,-1.912319224161478,-1.8626546636478152,1.9185661093026107,1.9107411865782975,0.29966006503208753
63,4.400919871344961,4.759057088298068,0.5645105940584049,0.6483955901619758,0.3375858059953746,0.3405059854821601,-0.9198998129113201,-0.9608266912981662,-0.9229459606644412,-0.967620810895911,0.30616389166247654
64,4.777730823364209,4.994477027866838,0.28740522189626316,0.3624142798693354,0.6672245046549775,0.6668428007883934,0.6636457444661479,0.623029838918481,2.307822634918461,2.2153177190743256,0.30167063268269323
65,4.152916275814119,4.039300400340574,0.2909457162740342,0.27676921289491285,0.9741509918306077,0.9836180059953124,-0.2876638052090972,-0.31282404842326406,0.9577948522430904,0.9063371061123432,0.3064879919633883
66,4.9964497690978416,5.0,1.233747562241143,1.2607202024968702,0.8574640200720829,0.8542871505851799,0.6371283694211174,0.6812302612601371,-1.2097628655056858,-1.1053361180464107,0.30171922515123395
