sbj,b0_sp,lambda_sp,b0_ac,lambda_ac,delta,t0_sp,t0_ac,sigma_sp,sigma_ac,G2,BIC
processed_500Hz_0001_epo,0.6169235090171222,0.26955704822257004,0.6726641341904513,0.01,0.09973009999096491,0.3124083098278497,0.4256365115363944,0.2138008668668058,0.2824812950187782,-38.40008623948343,8.67989131220785
processed_500Hz_0002_epo,0.5000000398618493,0.18809114567678947,0.7226587116412673,0.11991466400444313,0.47972810853890685,0.28799997904923097,0.32005739459216553,0.2363517906696182,0.48795853000458195,-60.53263334229137,-13.1684216421474
processed_500Hz_0003_epo,0.5774906005741162,0.5242902983969993,0.7944887032943372,0.19596306247715392,0.7096797893814475,0.273111461658632,0.5268947241221531,0.2028311128600605,0.23055951771157124,-155.16264621355748,-108.52659426092872
processed_500Hz_0004_epo,0.9641691404006515,0.9636445947835686,0.7974817235751721,0.3913982790375549,0.6293910597572846,0.33825026646340817,0.47800000740093684,0.3826976026053016,0.3423330829523713,-42.63046632577886,2.989671494203222
processed_500Hz_0005_epo,0.6258820004391854,1.4209148299714585,0.5390211694888443,0.2766558884317949,0.5458160521818081,0.2635490829586167,0.4137746521706551,0.24753252723399222,0.22691799521520933,-351.81559817800513,-304.93022280243235
processed_500Hz_0006_epo,1.6663603445093356,2.739314185719905,1.188718695138314,0.7116222986508414,0.7525026556208549,0.2662680555386287,0.41954874505577366,0.39181414793514346,0.44719514207063477,-96.38571932568783,-49.74966737305907
processed_500Hz_0007_epo,0.5377751178944958,0.6578826669175605,0.8309489131510244,0.24667295973880804,0.6649014432651215,0.27320197023548043,0.41518728228295576,0.33197261463309063,0.3346744744829894,-168.73209974263742,-121.7488973169325
processed_500Hz_0008_epo,0.8541065121691078,0.4785041925011454,0.7963817312073396,0.20558792411368684,0.30021708991624946,0.27497568538047107,0.4105826423837612,0.3340591379396305,0.26196996440945863,-4.7763997900052075,41.55105050131586
processed_500Hz_0009_epo,0.5921486836758412,0.2622450610628019,0.9684334041101242,0.7910434534032492,0.49154250807501554,0.26399976510988654,0.5164995377621568,0.29194278398636875,0.2640687136404538,-151.30693627415297,-103.942724574009
processed_500Hz_0010_epo,0.5390924656887544,0.021396694982213332,1.3007647687809039,0.936720545992587,0.41688629816234773,0.3020339125108336,0.5920006449426619,0.23714949061502366,0.22488937406748133,-124.7816529871404,-77.99517970574797
processed_500Hz_0011_epo,0.7926042361549186,0.6078317489168228,0.9048630551286672,0.4735561465368777,0.5099849958682822,0.2685052201615479,0.4574528827319593,0.2567228594732044,0.209302244241084,-161.3927063623193,-114.50733098674651
processed_500Hz_0012_epo,0.5723362761051529,0.41406922125577983,0.7732672144237476,0.36456857277005156,0.7336184906237233,0.25459387615172213,0.4226698380225544,0.2501045689563157,0.22339443527589717,-271.74662879605,-225.0601565434832
processed_500Hz_0013_epo,1.155058898593338,0.7498263124378604,2.3289104312128925,1.1768039406325317,0.29921963118259387,0.3048702876069409,0.5117306726894089,0.4021183646751085,0.34102070036030874,137.3509360661062,184.08754772411808
processed_500Hz_0014_epo,0.7065181835057419,1.16840150269751,0.8202703029032088,0.6275266532923878,0.7927644595100358,0.22150848340791507,0.45733082598054997,0.3989746708707501,0.3413795940297443,-168.62665380001314,-122.3516817914892
processed_500Hz_0015_epo,0.5524514090040651,0.08095601165595268,1.0007428423240088,0.4464362551967618,0.5630274856602877,0.29533613453902163,0.5380000842482187,0.413528583688604,0.27025650832904435,35.095041636516335,82.45925333666031
processed_500Hz_0016_epo,0.8159143037485813,2.364286434227492,0.8658679917250414,0.26652212998750013,0.2924316321747006,0.27788475457829964,0.48641235213469186,0.42824459154050176,0.2704886239968225,-105.76106976616887,-58.44361141791884
processed_500Hz_0017_epo,1.0510404887499214,1.5086412596294578,0.8346455273195656,1.1656423114119034,1.3035413417622914,0.39221039555260684,0.4976534333073097,0.34314911578078855,0.26876088914680646,-287.24836317960063,-240.16838562790934
