sbj,b0_sp,lambda_sp,b0_ac,lambda_ac,delta,t0_sp,t0_ac,sigma_sp,sigma_ac,G2,BIC
processed_500Hz_0001_epo,0.6170354494801013,0.28667884500911633,0.6726483780651638,0.01,0.09968779079693789,0.3124179620276607,0.09968779079693789,0.21380146041781464,0.28247869992960634,-38.30636040976334,8.773617141927936
processed_500Hz_0002_epo,0.5000058920281032,0.22068439001715723,0.6823327238403767,0.03952533025709,0.48134880492111265,0.2879999980697696,0.48134880492111265,0.2365582645681099,0.47088671584847824,-60.75852639014271,-13.394314689998744
processed_500Hz_0003_epo,0.5882754163911447,0.6772713515391197,0.7886927031930467,0.18565609926863313,0.7099596834635714,0.2728116965325252,0.7099596834635714,0.20272911263736357,0.2305188020966661,-155.11939443319636,-108.4833424805676
processed_500Hz_0004_epo,1.0581055493338196,1.6329518462690555,0.8398472641752196,0.5629452254198366,0.6215038411448621,0.3364639573820234,0.6215038411448621,0.3815392416690623,0.3394343859919876,-42.99986809770498,2.6202697222771008
processed_500Hz_0005_epo,0.6979006175767859,2.552162156521348,0.5426886701787998,0.32885144446867925,0.5405313645411516,0.2615210242715068,0.5405313645411516,0.24617962439337326,0.22694132825362695,-353.80435744450295,-306.9189820689302
processed_500Hz_0006_epo,1.5043908247081643,4.0,1.2242910919736427,0.9869038278062736,0.7783473012010163,0.278000003069649,0.7783473012010163,0.4028900421304611,0.4472675072779745,-89.57531032309203,-42.939258370463264
processed_500Hz_0007_epo,0.5577317373333892,0.9451019456467595,0.8259845034855872,0.24842256353561334,0.6640477580548343,0.27199997420229316,0.6640477580548343,0.3309398036710573,0.3346508947457172,-169.00274675317556,-122.01954432747064
processed_500Hz_0008_epo,0.8727269895203351,0.6269835451118186,0.7909610568604544,0.2003586089007262,0.29793656269808155,0.27483137924135004,0.29793656269808155,0.3340050254975825,0.261931426318189,-4.473141892864567,41.8543083984565
processed_500Hz_0009_epo,0.5882967199897897,0.24236364622215145,0.9872914385381811,1.0548200751163423,0.4876960396368127,0.26400000612365704,0.4876960396368127,0.29192293204241593,0.26407429189189113,-149.2589907207775,-101.89477902063352
processed_500Hz_0010_epo,0.5389747363303639,0.020696678374734823,1.3914144458747186,1.5221832354197684,0.4120509113790123,0.302036649709586,0.4120509113790123,0.23715079180879284,0.22497471551980786,-121.43964430483418,-74.65317102344174
processed_500Hz_0011_epo,0.8105094701489345,0.7914053381309141,0.8911226200921608,0.49115668672965507,0.510488575414654,0.26822583269841965,0.510488575414654,0.2565779505530627,0.2091870188217968,-159.4928604952308,-112.607485119658
processed_500Hz_0012_epo,0.5725383939089177,0.4463217760948086,0.7654276715344,0.36040136949613366,0.7363702890999808,0.2546669819914215,0.7363702890999808,0.25013455936710327,0.2233684662035219,-270.9411938894363,-224.2547216368695
processed_500Hz_0013_epo,1.1637856721285715,0.9799369605405444,2.2981131993164636,1.9066653123144954,0.30518690481502486,0.3052066829052143,0.30518690481502486,0.40219447955189447,0.34100838689383717,161.578939070118,208.3155507281299
processed_500Hz_0014_epo,0.7698499572582259,1.9182156052561259,0.8315481437642616,0.7885700957919538,0.7848078731457714,0.2189999781805636,0.7848078731457714,0.3959249011397351,0.34136803633243107,-168.85872647072264,-122.5837544621987
processed_500Hz_0015_epo,0.5517291072072341,0.07690550562105611,1.0106925799721478,0.5528305967824623,0.5579168903562175,0.295360055827137,0.5579168903562175,0.4135113291510496,0.27030127247769653,36.12566618946523,83.4898778896092
processed_500Hz_0016_epo,0.8858768996015352,4.0,0.8557707584556271,0.2612983355826071,0.2920329748046512,0.27814422060965815,0.2920329748046512,0.4284028170334582,0.27048428089170473,-103.83462958879014,-56.5171712405401
processed_500Hz_0017_epo,1.4139439854954365,4.0,0.8958043571247902,1.8431220563679442,1.2692518400498738,0.3877980887064434,1.2692518400498738,0.3403905827363247,0.26822381313476973,-292.70122959514913,-245.62125204345784
processed_500Hz_0018_epo,0.6093190741927872,0.5105271975055437,0.7862558193300915,0.15590033494831318,0.414456445919846,0.29817967718720684,0.414456445919846,0.4768142434759636,0.35891090299927997,20.72014772393905,67.8481253894086
processed_500Hz_0019_epo,0.5951161828944018,0.15378248150904925,1.0235712119882483,0.3137075220232819,0.21642180105347536,0.26080873072645383,0.21642180105347536,0.1126501861630142,0.2992664439227388,-117.99847254365018,-71.11309716807739
