sbj,b0_sp,lambda_sp,b0_ac,lambda_ac,delta,t0_sp,t0_ac,G2,BIC
processed_500Hz_0001_epo,0.7640553372723355,0.627498236115019,0.9560724454381699,0.44631047091691933,0.08010155616085246,0.2739994685830494,0.3370000354760392,254.5703713873699,291.188131705352
processed_500Hz_0002_epo,0.5000000009454444,0.20147100515522695,1.030518449462432,0.5487606034857055,0.44422404949566796,0.29200002298602157,0.2320294321669796,139.9293759151462,176.7682072374804
processed_500Hz_0003_epo,0.5793129446726132,0.5414082588521144,2.3792352137456136,1.0094572741077013,0.5716787128615236,0.27220400718194326,0.11456828106430456,162.01397800235569,198.28646285440027
processed_500Hz_0004_epo,0.7953972812510164,0.6992811329467687,0.7778370058301721,0.3590192244616005,0.6503096418941546,0.38000057304560286,0.48499996036401394,145.6290126834256,181.1113420989672
processed_500Hz_0005_epo,0.5241674931296953,0.9781693454525078,1.0519255476981249,1.178444769761479,0.4992155606298144,0.28599999897010053,0.25360582771883267,23.489329256655076,59.955732326545025
processed_500Hz_0006_epo,0.5219882504046225,0.19220390634475593,1.6144738064688702,0.9616964042678647,0.8262836470706366,0.4219999890741454,0.3356596607267153,98.27927610562968,134.55176095767428
processed_500Hz_0007_epo,0.5173916363430964,0.5635669702994048,1.1388111542594093,0.5850801158152255,0.6451823583448012,0.27835703616153074,0.3290001485593202,112.26546011526295,148.80795089081124
processed_500Hz_0008_epo,1.0693575707166336,0.7204357730660915,1.1433226374390408,0.5835134037069868,0.3113397161906774,0.21829311907369658,0.3080000992240432,272.0601045700366,308.0925659077308
processed_500Hz_0009_epo,0.6662800112818228,0.5102011856356392,1.7504578086850957,1.3508853013582174,0.4731959489888672,0.24499514034667355,0.36799941175980533,176.20555146037262,213.0443827827068
processed_500Hz_0010_epo,0.6228370197115527,0.29314261853052015,2.1142802790627027,1.2814337464106424,0.39061211868230405,0.27699988360531236,0.4449997625768471,194.84341271609566,231.23289193495646
processed_500Hz_0011_epo,0.7258219669788908,0.47126469072706767,2.9563914514828933,1.3776190229311736,0.5017685418128124,0.28700000322062263,0.1079928139864749,212.96286067367777,249.42926374356773
processed_500Hz_0012_epo,0.598761122122036,0.5184766400326513,1.180654549838914,0.8944489387180108,0.7016656354542188,0.24799993237613022,0.32299985912752105,125.11349697053583,161.4251976114211
processed_500Hz_0013_epo,2.4262077126753634,1.2858936554499891,4.0,1.4531946946371415,0.2624169717650746,0.08099621678111296,0.3457048805367964,282.6535001250176,319.0041980812491
processed_500Hz_0014_epo,0.5000280045297507,0.3182902333997162,1.1361973894823318,1.037248730339566,0.8419655895915874,0.27099998995761443,0.39123213255921613,52.174394272419676,88.1660391679383
processed_500Hz_0015_epo,0.6514734929979982,0.4082674282024996,1.1932024566341104,0.6024429856289484,0.5548305738573818,0.26860011725865773,0.48200008351565915,226.34852091564025,263.18735223797444
processed_500Hz_0016_epo,0.9576708288948008,2.671090682831717,1.3329156262401705,0.6700042182059849,0.279817836300055,0.25800004131247023,0.3499992392375221,147.96379329908382,184.7662609032783
processed_500Hz_0017_epo,0.7163383799771829,0.9303443934860955,0.7253788377856798,0.8798463857290935,1.3830053577402546,0.45756525949131527,0.5190000839948969,-44.09374324743664,-7.475982929454531
processed_500Hz_0018_epo,1.5859099764050093,3.490359822278652,1.0805155968883984,0.5052801186632192,0.3662527862974967,0.21455491079321232,0.3970001034039399,206.45704888675706,243.1121426265667
processed_500Hz_0019_epo,0.6252485237435225,0.24225002489509756,2.734484928394004,0.9353971272152014,0.1998515337040505,0.25200000629067054,0.05,295.2546514293263,331.7210544992163
processed_500Hz_0020_epo,0.5,0.5014789509445469,1.4458797902980214,1.2714363310315981,0.5903056545027829,0.26617156034582745,0.30000023995055014,62.281296644894304,98.14904450071711
processed_500Hz_0021_epo,0.5322925404401363,0.05465484920754242,1.2990829467886458,0.6141425678581391,0.38560919787727704,0.2870006461394633,0.2320000479461674,216.82532397010993,253.48041770991958
processed_500Hz_0022_epo,0.5051782484061316,0.32199001060000215,3.3178394670264684,1.165370127852328,0.23787237596052813,0.2780073063558882,0.050005308607863244,189.15544217469323,225.81053591450288
processed_500Hz_0023_epo,0.5306632510414151,0.01,0.9325758150736421,0.6762379773591627,0.39013506691953664,0.27578169772032557,0.38173929877876445,164.58738695551597,201.27961606093345
processed_500Hz_0024_epo,0.5742564947668276,0.602300864693806,0.7892398801680249,0.7619510204468583,1.2919081675813346,0.2680000009062441,0.37795544570776873,-20.39597957743377,15.471768278389042
processed_500Hz_0025_epo,0.7247358327469342,0.8868178813072561,1.179015999545374,0.7264292708735409,0.4817742575967826,0.30300001458947023,0.3205052087923045,170.27994848823653,206.66942770709733
