sbj,b0,lambda,delta0,delta1,t0,G2,BIC
S10_epo,0.8292105072465397,2.1251992344566473,2.7942938874030663,0.4437847033925654,0.21208779078214546,-162.12956894471566,-131.0765685595924
S11_epo,0.9277994504211622,1.2904622472338005,2.7253109654462664,0.4818036384336479,0.2633203129066083,173.8767249995775,204.96972559803615
S12_epo,2.0779098397546285,4.0,1.6809302251770952,0.2103273165390106,0.14489487045261298,220.3342561748988,251.39728665365638
S13_epo,1.0292262341563179,0.6811261559245767,5.0,0.9073094728933453,0.38351562510868525,103.35393275885076,134.4469333573094
S14_epo,0.585238788241129,1.1662327790267513,4.994088760518666,0.8332406971478522,0.34551593240912426,-535.9969334760528,-504.90393287759423
S15_epo,1.114669958653897,3.965307438730089,2.9663217913249924,0.5799372719011491,0.21372388596496994,-143.15594783974186,-112.12306820611721
S16_epo,1.3465048924198952,3.9574898776196323,3.1623503979897793,0.5785936843571422,0.23254434223919213,-81.85929308026144,-50.78625258815048
S17_epo,2.0754309954915606,4.0,2.6056274015308385,0.5134275921563454,0.1775391561760922,295.21576499156777,326.3087655900264
S18_epo,0.9958520013430864,1.6497134325421074,2.5470981084800877,0.544191326966748,0.1688570658028539,265.8762963473355,296.9692969457941
S19_epo,0.599721484065792,0.4572052969372611,1.555986837527517,0.2875951366832168,0.18700307538340505,179.64726952530035,210.71030000405793
S1_epo,0.9033048378336177,1.8177703264709268,2.8757983293825014,0.6640536329767055,0.1795995425258943,181.40838223757916,212.47141271633674
S20_epo,0.873711021520572,3.791344405118073,2.5115338797914015,0.33027030806700564,0.267226565780229,-392.1903036821772,-361.09730308371854
S21_epo,1.0983606456241548,4.0,3.4620701509425804,0.5890048159603515,0.23552644384345894,-314.9579725943381,-284.00639556507235
S22_epo,0.8850886272025497,0.9632483548536143,3.9097799512469655,0.7815735910458982,0.24191708033263654,199.66592963347114,230.73897012558209
S23_epo,1.0816570613746639,1.3691990940512555,2.835498896353158,0.5200683932758663,0.1671616372641055,255.74901462712313,286.7515604973366
S24_epo,0.8055718369228523,0.049832333848592335,3.502929784729578,0.7098475985900125,0.38251620362605177,506.6128728902802,536.4819209496264
S25_epo,1.000492183480487,1.0856993166497653,2.44566894549535,0.41235261712151167,0.1665819723705828,320.3070653545975,351.4000659530561
S26_epo,1.1174359334267667,4.0,1.736971806570852,0.362330037985691,0.16712774837134614,-18.161495931723113,12.90153454703448
S2_epo,1.091134373336985,3.8975089695600422,1.9979727800895686,0.3681920749145301,0.18425781349443512,-48.490010073217036,-17.406979567792714
S3_epo,1.0189794056628032,1.719256114314888,2.3652209000936724,0.482062473529161,0.18140547975928967,264.4793855959029,295.44119804327727
S4_epo,1.2811365239159531,4.0,1.9173647947751753,0.354422191394898,0.13874074286582125,15.590963097569665,46.643963482692925
S5_epo,1.2932381499816041,3.618729099351114,4.003014200379325,0.761585831730893,0.21816207051697284,-138.79692074414032,-107.74392035901707
S6_epo,1.4566013934599853,4.0,1.8868905588883023,0.3801739539802751,0.15083789659373742,165.22314015591516,196.28617063467274
S7_epo,1.1942088027246112,1.343499285753236,3.005987961258398,0.6079118481484799,0.3156738201956588,439.80835931288533,470.8613596980086
S8_epo,0.8019875303289378,2.5593602818547367,3.940095713719405,0.6901566697506604,0.27578467587242234,-358.1433046582872,-327.07026416617623
S9_epo,0.9354909937641678,4.0,3.095241787720565,0.49610137386292236,0.2459585051121264,-429.2472471695306,-398.154246571072
