sbj,b0,lambda,delta0,delta1,t0,G2,BIC
S10_epo,0.6849037348388682,0.010000038241867827,3.8268181577799236,0.7205609759749647,0.32654391604927996,294.30933561679626,325.3522857472794
S11_epo,1.2000876390710558,0.08976013272207004,2.824661940658708,0.5694802694850122,0.3127735804811456,1230.306911011123,1261.2891316500957
S12_epo,0.7660491333897013,0.01,2.4203662160147963,0.4051999265189301,0.3531711591951156,577.1790220963805,608.2420525751381
S13_epo,3.458547923523476,2.046167531509125,3.889044885165428,0.6947679542369949,0.19840901768004737,520.3773846540232,551.4703852524818
S14_epo,0.9130708566267359,0.010000004023926857,4.035544389933811,0.7101462694103295,0.39667960556991466,495.87196124699784,526.9349917257555
S15_epo,1.2074697980434799,0.16275076789439596,3.705897603058944,0.7815099586957538,0.3547668277492016,1057.7283547085221,1088.7410322944618
S16_epo,1.2362510659414903,0.26779964030108455,4.483703539514894,0.956828303546774,0.39472570654765776,935.7756945559921,966.8387250347497
S17_epo,3.191008325958409,0.639294135948142,2.30828486496602,0.44875369471661763,0.05,1098.5849496443818,1128.1794189157476
S18_epo,0.7314657494419905,0.302455959546149,2.3745389086749973,0.41452926092215786,0.2931740998231194,350.35122767871076,381.4342581841351
S19_epo,1.035638215133936,0.14689106339830255,2.290879380125838,0.4122641018952872,0.27307972400181996,935.1534200899819,966.1762089028254
S1_epo,0.7442233531784338,0.4557900737853371,2.749524427432534,0.5933902513544138,0.22464917690684574,372.1917366632055,403.2447370483288
S20_epo,1.1171868471889947,2.944736043724294,3.7548192746773617,0.6599202716196461,0.30531249602533267,-135.8946673135695,-104.80166671511085
S21_epo,0.7147308579553665,0.01,4.485064818677737,0.8655349006547441,0.32382815114079466,296.15755140558156,326.7700154531535
S22_epo,0.9187634964213423,0.010000000464822148,2.0444494966953526,0.2790780842996284,0.3068750238088248,810.1940287906308,841.1660557461541
S23_epo,0.8635733122641119,0.39703592069401733,3.1566244006809434,0.5456364611853898,0.21258930608792323,306.2349836762641,337.25777248910754
S24_epo,0.9606791433572852,0.010000001306158902,3.1356953253305173,0.6054118584813246,0.3996549294108718,358.93212826254876,385.3734634160214
S25_epo,1.1872403617421894,0.07462219921322777,3.267946288805585,0.5688396823246962,0.36992556009217703,849.9754098097771,880.9779556799906
S26_epo,0.9689726703587936,0.01,3.3289383489737134,0.6750487229951415,0.29410172752529357,849.8314837339909,880.115403800134
S2_epo,0.8989607155496241,0.01,4.096814298996754,0.7830676109386667,0.3642893016855283,605.4496198809288,636.5126503596864
S3_epo,1.8708188423366536,3.5403459017000802,3.0235993379493498,0.5236667605931935,0.20844153072455426,117.58007447705332,148.51111759655578
S4_epo,3.360827813967003,3.835837156116632,3.1033944896797565,0.5947749025830764,0.1023221115750457,492.52581198487997,523.5988524769909
S5_epo,2.1797768021183375,3.804522421691685,3.563381759203903,0.6807009810191564,0.17558775078787678,188.9822821847521,220.02523231523526
S6_epo,1.126007925236067,2.467708175564514,2.169865160964058,0.38281188223874796,0.2785003242510613,126.2130988523804,157.29612935780472
S7_epo,1.3606596083938067,0.33830805888309523,3.330380050471655,0.692297873601279,0.4044592100107254,1025.589221089538,1056.5714417285105
S8_epo,0.7672288475921375,0.010000699662192886,4.9609123613806325,1.0047537335616512,0.34687502508011214,451.44404000102776,482.53704059948643
S9_epo,0.7402821063666505,0.09686858281232358,3.7550745756233743,0.706292269571934,0.3288728923256021,367.7500433794307,398.7929935099138
