,a_true,a_estimate,lambda_true,lambda_estimate,delta_true,delta_estimate,ndt_true,ndt_estimate
0,3.405007536836619,3.998973305902268,1.4209748037685899,1.9094423887771619,0.2558127043542021,0.2468352184948562,0.8340586622518841,0.8800586621148994
1,2.484295256634626,1.6814653117012166,1.2615277252599932,0.6166809347302872,1.5032281955711144,1.5671865511109706,0.5477721704326128,0.6457721818916646
2,3.9803542708052957,2.9715069943554995,0.6016630152543543,0.4508068920281803,0.7297828421171197,0.7327322524504503,0.4606799678240648,0.686679682229779
3,2.6434796407391454,1.9292763216521187,1.7542308661991117,1.1686088803076253,0.03451580238432295,0.0,0.6446945477152675,0.7446975964716165
4,3.8285554326547246,3.197466538971111,0.3225633996292875,0.22671132636369073,0.886830234722415,0.9434057297482877,0.6968933106473844,0.8598932756249864
5,3.233044764784104,3.4426779852985994,1.7178167385658392,2.0,1.880005614215474,1.7524282651051093,0.9993612780522245,1.0
6,2.006473329571147,2.8770166327295597,1.406595666108672,1.4673644526340557,2.8977055162855883,3.0,0.9863186796214376,0.8983186733972959
7,3.7371538822401154,2.889629508310911,0.988994109308026,0.6651138185709251,0.44522293063740714,0.4205707902654585,0.19145889887249698,0.30145847931274583
8,2.570587777737931,1.848263966146921,1.6568900732544567,0.9055152259085725,1.2920594334228108,1.4392796160775685,0.9150467771702491,1.0
9,3.9047499545222637,2.6496736662463696,1.6047778448514822,0.8482402815793517,1.776336966483581,1.8306749953521826,0.9060988827972963,1.0
10,3.309130591027612,2.2744432075425216,1.971055952400087,1.291773950804048,0.9454850888731255,0.9527344808698026,0.41801836058446373,0.5261575573569993
11,2.5687817974210034,1.5,1.4834701967463952,0.6901746769561884,2.729520844155747,2.8834430716901864,0.2668931122947071,0.3851518202315556
12,2.2120457236327784,2.3228467946246294,0.4042052559243326,0.41348520874344347,1.2966590292316953,1.254799232270576,0.3449637567704023,0.33596375259140715
13,3.0288066322682976,2.8085122242610416,1.7365464537642914,1.6737757476926038,1.4962107376457583,1.5241950004958675,0.30584510643147683,0.352845211117072
14,1.9577811865188623,1.591414631769155,0.9575786904080217,0.5471719205905046,1.814481008282665,1.9022966755522153,0.5749275612026707,0.6349274967527417
15,2.3676573343324594,1.9380053619482385,1.2774660838239273,0.7350716653803657,2.8267745916411853,3.0,0.8015625709752057,0.8465626211972204
16,2.4152444046795685,2.5360451684327,1.663869375876331,1.6969377129082082,0.42505935131467476,0.4140324907953759,0.4726858047297831,0.4676857953708932
17,2.594693194347852,1.9857949751480595,1.7924500775009264,1.3038266154089933,2.8659283889179834,2.7372589541493664,0.21771642373801722,0.26371640153959985
18,2.672895186938743,3.3600239587912455,1.3188077836431442,1.7281948954817703,0.647641993633659,0.6933373281074396,0.27583727370791405,0.2218369881076236
19,2.916249993537864,2.1667189557146074,1.9034130999526195,1.1182640053892468,1.597152288337348,1.7474453639734964,0.7536630435934027,0.8136628713106698
20,1.6012632116176337,1.5,0.21583230703292983,0.12256015533917487,0.43450129850829433,0.4676540357454675,0.6004086545283163,0.6047892812327892
21,3.407190683851794,3.965759886265428,1.516206815150347,1.8295119659608445,1.3550034648837832,1.3970356783841567,0.06156514687728304,0.05
22,1.710316549976468,1.982993767726854,0.5256057148492816,0.6465119644001205,1.7799512406707043,1.7863339157982439,0.9403178732836484,0.9093177611331358
23,1.5728281475541088,1.5,1.988059691874011,1.8253637496440356,0.7024070083895356,0.7559716919360016,0.3532956319215973,0.3612955088003659
24,3.753108031877614,4.0,0.2025139794749779,0.22761835275378547,1.3228908125847694,1.3286882904149624,0.3814682713588885,0.32546827015240665
25,2.9601461611092743,3.769043068362561,1.1225370816371265,1.580988089289176,0.8865316942025401,0.8532874164663028,0.45037584620488647,0.42837595514054705
26,3.404089534832199,2.3533516724812564,1.4286907602572618,0.8084106701487515,2.714839224653791,2.8278291164949065,0.35693336996907415,0.45093335959277087
27,2.738279967811364,1.525846050126573,1.8370691692088652,0.12583151591251523,2.2646517722959123,3.0,0.8186906435352377,0.9486906664239622
28,2.264671091562756,2.1926384116528954,0.9135331450974828,0.871677438626745,1.18842149342629,1.1580269233026435,0.7264537594370969,0.7454528137527867
29,2.028423624917507,1.5,0.9870833172135126,0.5983889951398083,1.335163771374337,1.3250510309946466,0.6844920073478371,0.7761488677972375
30,1.6068162712149223,1.5578519992666502,1.1200104838116947,1.0524529622611145,1.097722632656592,1.1160252130617656,0.6446639270784308,0.6636637222415165
31,1.644231443828102,1.5,1.428329300405762,1.1890366501870666,2.2842738367409208,2.5377859554279163,0.7246766952140432,0.7425817109092776
32,1.5367170319290264,1.5301267204908764,1.6704339347461032,1.4780060216128106,2.1110215312988694,2.099133067683915,0.485375943831167,0.48288343477705237
33,3.6317460703993554,3.9512377881075498,0.5215375990565677,0.5771792493854322,0.6074133952391549,0.57312671410036,0.3516966051151319,0.3436965934014773
34,2.6906950376452863,2.0573815444451835,0.6058763100685688,0.3674649767414414,0.8889116347769949,0.8670720810421435,0.12695515673071445,0.21594903975606328
35,2.574277665650041,1.5793313971733185,1.0796329212688454,0.4195461907212727,2.9196138291863587,3.0,0.5594290388735816,0.6740895247681319
36,2.778666199282694,3.009420022135,1.1255937942288388,1.1444782358170402,0.8026075636381457,0.747206611317124,0.6934627841946811,0.6564628870849532
37,2.630014872144586,2.1566883393865153,0.1555723610118954,0.1,2.9346509390118567,2.72549342209457,0.7558050553992085,0.8308377117297431
38,1.705420058049834,1.6047524903966657,0.5431133321834695,0.535663172123432,2.9053418895476306,3.0,0.9039510489201877,0.9319510513417201
39,3.8438371755144667,3.999439134687755,0.8454938973906059,0.8966749854031313,0.09808910719950559,0.06694713669644561,0.8761089822129866,0.9136765942762259
40,3.126502439991458,3.007159863727834,0.3289297819544992,0.23378926434765007,1.2313284599017063,1.3119084600201907,0.6358273807985066,0.6338225421520971
41,2.3977494388774483,2.4049686566166852,0.29000401915485713,0.30724305925393824,0.43431440766182006,0.379031114969383,0.06838705854062936,0.058176593797900446
42,2.8344569635251706,1.7533758988994737,1.9222530286207598,0.9575798569405185,0.5470919042094614,0.5906348506436505,0.740079101643089,0.8810792933080211
43,2.7141202397403568,2.872380242856419,0.8107228190052201,0.8542883152954408,0.6689227654118396,0.6502170931108757,0.34645495602580473,0.32645516686691795
44,2.8414977722969024,2.589339801436299,0.4120978223269921,0.4067668546094727,0.7455312468792379,0.6994089897050435,0.3961213437521967,0.4981212793352375
45,1.6924831054034717,2.094251403432629,0.20769609526056024,0.40204562077387407,1.350746623661959,1.2628861836056164,0.9352353984051647,0.8672347904996209
46,1.982767817370167,1.958915925376105,1.361093712286225,1.95816625957564,2.940058074957216,2.7629460667313452,0.48050968087482643,0.5165096823187725
47,3.0784965677406664,1.7928923972339652,1.8867666947809385,0.8783903248765091,0.07592015887994596,0.14257420762427173,0.061944127468769095,0.20694419747474724
48,1.7443478031053268,1.9164837002973587,1.6671823929249212,2.0,1.6539843294047079,1.626205046289848,0.6316959730337871,0.6286960563018955
49,3.5611051570374057,2.7449144162825427,0.8936162710079227,0.559131913194213,1.0318935576602337,1.1129026088679201,0.1956274134386667,0.2956274650140914
50,2.995798253957363,3.5978633663083226,1.2431886710946902,1.6149443436202633,1.4442562256983296,1.3481664168954222,0.6368780272833825,0.5888779900491954
