,b0_true,b0_estimate,lambda_true,lambda_estimate,ndt_true,ndt_estimate,mu1_true,mu1_estimate,mu2_true,mu2_estimate,sigma_true,sigma_estimate
0,4.036414415168613,4.14762819819434,0.4374103070136458,0.4506748528916525,0.0654574239425809,0.063435137823435,2.5072348524400896,2.594616487217168,0.3786030279111654,0.3818679369331806,0.6145984850022657,0.6097541549710807
1,2.676058624162515,2.790050206273303,0.5053722800047616,0.5589282430146003,0.357628790136385,0.3578598969960285,1.608649833173108,1.6038145234382708,-0.4165143822322512,-0.4653279171169725,0.346181721683115,0.3512558854427965
2,4.792706457160444,5.0,0.8273914592150826,0.9199694837681068,0.2569985844477178,0.2686341765599198,0.3905160349755789,0.3274703530095415,-1.677789496538154,-1.5992454958037838,0.8562814891310929,0.8440440944357253
3,2.638560723494822,2.7979450923224407,0.5966310623657881,0.6171479128248779,0.1184736444334166,0.1176644318226372,-1.865852257547841,-1.8730392847066275,1.3460925750479344,1.4081635984525174,0.3514240122104813,0.3544768206516598
4,4.724437170365609,4.717481858162054,0.1339714049465877,0.1202369354898041,0.3634853456376664,0.3817668618014839,-0.6260806007749087,-0.6568829281705904,2.899632509288612,2.918027472877667,0.4744094209828244,0.4869194800341919
5,4.271557537158416,5.0,0.6755364653454248,0.7952742844599636,0.1423901894851948,0.1426953634163323,2.839360162761711,3.0,2.5135670527083738,2.7294256434371085,0.1129714006953866,0.1096554312406152
6,3.925562683213453,4.193510633150069,0.9901689604258084,1.001038951532026,0.430911878171735,0.4154344837417039,1.0631216014886913,1.06203103470197,2.112393630074931,2.1617065324258835,0.4881113681181757,0.4926325900858537
7,3.1803138030424645,3.4698049218627363,1.7273714441078551,1.7070516719619917,0.6439637118414318,0.60989908462386,-1.098742759801781,-1.1341481668336828,-1.2303522199275023,-1.1551549643478918,0.6346874964502812,0.6154575120088608
8,2.7388331113041824,2.701298369173,0.7743953395952317,0.6974568723858967,0.3500529434653295,0.354224153374696,-2.3516477969181926,-2.389084431564513,1.4761864120846315,1.504239801505269,0.519127878584323,0.509393818095372
9,4.61384901064349,4.778290717807517,1.9673184369535284,2.0,0.5216608185096034,0.5301856971254209,0.3818539649406554,0.3714976191915456,-2.149975663322521,-2.245413893156781,0.1671958273293774,0.1742053243712973
10,2.3427117970994584,2.28514492682498,1.7480604661814283,1.6036200557534823,0.3147546633493415,0.3169340063190419,-2.172859776658718,-2.303766955397424,-0.3617655196525935,-0.4589089596744769,0.683601346943353,0.69125789255968
11,3.7093386519774847,3.949654483923132,0.7828975616331785,0.8541970878575038,0.1145630535292087,0.1090900181233369,1.971799533865074,1.9874967421288647,-1.7754994095171863,-1.7333388244603878,0.7710699402172175,0.7671681073861751
