,a_true,a_estimate,lambda_true,lambda_estimate,delta_true,delta_estimate
0,2.99842623648753,2.616972470955379,0.6040787345468231,0.1,2.438488473393293,3.0
1,3.690859787559387,3.7555928323342296,0.4100893046911313,0.3809667248146863,2.9160536696773645,2.976933369739992
2,2.931119590564458,2.8704268991386788,0.8126320294491919,0.7617809054306783,0.0890292516752132,0.0655381779296782
3,3.315730640361352,3.1933986599281208,0.8775292926793563,0.6266634055902073,1.3617506914833477,1.432125361023456
4,2.969585769980146,2.4900007749011497,1.9374179591996257,1.0289814645830302,2.693331440931974,2.9040685082898516
5,2.971901748558815,3.1923714868519624,0.2739545504205354,0.4134460190728097,0.9914776991688996,0.9670869626449006
6,2.391678522985724,2.3879495159896376,0.2115311702450923,0.1739531162476668,2.176667582717657,2.1500833652839155
7,2.128024994247849,2.014565606323941,0.3295279529982551,0.2799903759297893,2.0419407616406096,1.9275447554846867
8,3.0660366208422354,2.812725944297331,0.9568031487618563,0.711566327750347,2.612317448472878,2.700319486517871
9,3.499324009380992,4.0,0.2636679170476814,0.4537493861416712,1.908862727374577,1.7686647241375608
10,2.281673567237936,2.1623926687457016,1.7977738995395622,1.7307359462882317,0.2079643652216816,0.2575196143640162
11,3.559741606677967,4.0,0.6137371273364902,0.7579196805099709,1.234101924011899,1.216108803896942
12,2.076887656518055,1.8250014087663913,0.671584728225698,0.4850249905942712,1.3175104706933118,1.4341456519300044
13,1.6468544143291042,1.6582737706385369,0.705187013496118,0.3320350709930624,2.1077521739911296,2.4088982438705946
14,1.9377715805038225,1.694305576589761,0.3397868472090729,0.5972975899197139,2.8001630280154575,2.365735888817796
15,3.3734883814067143,3.9663403009673694,1.9518426625914993,2.0,2.8849402810823417,3.0
16,3.8419056552697,3.907133429820945,0.2299161083616986,0.1888646415094169,1.3407500957795908,1.4018627291512973
17,1.9759903633636196,2.073454620421587,0.5577981584750396,0.4295488092827891,2.3036278644709256,2.4254604832017166
18,3.2193864209448906,3.208913556567724,0.3727877975322631,0.2295872098814319,2.6738822814902035,3.0
19,2.6430544526740687,2.8451960589958007,1.7576544272623456,1.6154658940811946,1.3932194177641797,1.46380518703793
20,3.2714613116898548,2.671708499015219,1.7534961989713889,1.1837924867368048,0.6050010826893295,0.6989406390840642
21,3.245932291873797,3.5254847184084785,0.269785241003481,0.2550953090972175,2.836701756493878,3.0
22,1.8009610192324597,1.6991903502791736,1.976905570050936,1.8135450466551817,1.0940355232848005,1.1538455924038518
23,2.206299761684272,2.5020068748146618,1.7925867253321222,2.0,1.2348015254938192,1.2171495829673329
24,3.697949754605813,3.291861572186946,1.9442005680568633,1.652609959537669,0.7763219015859233,0.7707358908298405
25,1.8413114944757736,2.1778148921654066,1.6676125281990413,2.0,1.0202172125761262,1.048535713566388
26,3.1610291612624186,3.1916021910798986,0.8072301933330219,0.8216477479047701,0.0792280191022153,0.0658441924261112
27,3.0955883105409883,3.350145934331523,1.830748455480678,2.0,2.884891579399603,2.944275327682521
28,3.498932972380917,3.616627077416685,1.4653375845303065,1.5230395385101738,0.0982088596195055,0.0998232977736998
29,1.6710985657219042,2.182619364563691,1.4271372995927023,2.0,2.6135668563489385,2.6536024779273357
30,2.2909762844053065,2.4222819323815603,0.5828286071485888,0.6831685975951771,2.179175879598571,2.250749475857579
31,3.5188653722350263,3.4934850392335757,1.766846270082164,1.6710863623724068,0.2219836787516077,0.1848524553080581
32,2.6988176957195464,2.3602189068151045,1.231431216782525,0.8703911910119241,1.682941858013153,1.7945256856488212
33,1.5163067107143733,1.7559881359157417,0.4929664005149815,0.6529493154464373,1.1603776593515178,1.21218237662196
34,3.2152716476058356,2.9489227319100944,1.5014363754260152,1.11213450854321,2.8346689319770095,3.0
35,2.3343131932768424,2.9878770345197636,0.5305085603834633,1.0971164860162528,2.987354380723328,2.7326449610890418
36,3.070643849275913,2.4722683416537845,1.7625530636997555,1.278445976357538,1.0680958318194895,1.050097310266055
37,3.4858135424050616,4.0,1.0696604352526693,1.301436051906035,1.261141112576195,1.1955815146174424
38,3.4774229943595385,2.7704155173803535,1.620830776057605,1.1057803991076578,0.8376564088543046,0.8633608244274404
39,3.762993176566318,3.9839686176202136,0.7860783198086562,0.6602677574420178,2.1470073859186014,2.2215381406828256
40,3.434892602284614,2.4737913816114734,1.656190467390007,0.6155934923463591,2.651262816271101,3.0
41,1.787963415225434,1.988113821118438,1.1379088968411075,1.2983057100549396,1.1405803629310245,1.1265422211486065
42,1.7404939587347934,1.6964736496725406,1.3509945769884455,1.1482598784770042,2.791868184910878,2.805090509722848
43,3.198518832510305,3.5242627138064506,1.2197433174491272,1.227425154676188,1.086911087625262,1.1731633882302144
44,3.54749167211847,3.2699568330504927,0.5287944525543998,0.2490676177670588,1.5507992676971378,1.8710528116045877
45,3.661725725489838,3.673261490374304,0.3558743990842237,0.3418939495319846,2.43924308170904,2.445413499715394
46,2.1855113948603995,2.138693963343469,0.2955094814051053,0.490087665453732,2.976477443000781,2.737487636954886
47,3.338628539670864,3.765611930497036,1.3845981301433934,1.4723761174571208,1.5284362577542896,1.4748688147382991
48,1.6510799113632637,1.5349722369276868,1.3961921964659345,1.0746459174654666,1.188700121808755,1.3088811596032
49,3.298330396115013,3.5704469010443143,0.7084729089593779,0.7707113005071231,1.5683854286402608,1.5984933934790022
50,2.8582033202648782,2.697616738325044,1.192009880264134,1.0678955612572465,2.8467229370083236,2.805525107946662
51,2.9799827939898944,3.150938743991478,0.8992255562309271,1.0143014224211466,2.630150726886254,2.510038422016787
52,2.154239476725566,1.938679624401698,1.080158415567872,0.1,1.893474513979835,2.808570933675009
53,2.3033574394656005,2.230345866403032,1.5774652067269177,1.3528146959119924,0.3133227617606328,0.273507626117857
54,2.478686707694532,2.406821165971444,1.7848062136686471,1.7013720724135015,1.347864732873652,1.4129462902561134
55,2.3509644206945444,2.2439818282207136,0.9274057744985396,0.8401610172335716,0.1333573594556412,0.1453472632978632
56,3.010884772480422,2.480108591043229,1.0970346538287503,0.5233202383937503,2.083804870707969,2.2830424796355553
57,3.0738392580308567,3.590549274658071,0.5893761150747645,0.8800374195527195,2.163382605332388,1.975122498344212
58,1.9459032445790785,1.5438955604666484,1.2166516431285652,0.5918132361368834,1.623861743382184,1.7562306998058028
59,3.151517871793702,3.327035629054905,1.7425606676424312,1.8256086120733543,1.827129219483852,1.732364567703465
60,3.0506577646428266,2.636836692635098,1.335904498004544,1.0876715002345625,0.9252064388905568,0.8518278798509269
61,3.5830164684690504,3.818284665362534,1.8375560009486296,2.0,2.6696598497406177,2.4897174401511943
62,2.761899226191651,2.7128209347124073,1.6705839180560609,1.5710337057191086,0.4913453499124298,0.4900482578496918
63,3.2153246678565166,3.002936928614268,0.9329187380722498,0.4455471159634291,2.525684311479159,2.893851816789726
64,1.9210611158302136,1.8596368272489816,0.4303782029140724,0.226090011458063,2.8079043760455935,3.0
65,1.800253264639733,2.027128889515793,1.6408934420061083,1.9031893595403448,2.091417963451802,2.075456286419009
66,3.2714534482212443,2.984869919743128,1.3354651274044624,1.510541496210516,2.341203278877012,2.1767864336145903
67,3.024662550193347,3.456031089678548,1.993606162632694,2.0,2.467681661395681,2.55322937926005
68,3.9730228862644337,3.971117488945888,0.1047346288465205,0.1,1.525793116207781,1.564593247352159
69,3.072026526710919,3.123967616229399,0.6573098153412835,0.6764073494427882,0.2326641175981408,0.2654205594160266
70,1.8123543981103163,1.6496777232762048,0.200140981005867,0.1,2.923513738222897,2.9222311791276945
71,3.702045560995061,4.0,0.3610302922565265,0.4952733803754781,2.683783422286533,2.5570147567758825
72,3.049922715959792,2.8829672773882637,0.3149987137582297,0.2878112112439108,0.9836789534920152,1.0074882049016638
73,2.469682644981617,2.656239284005564,0.1332127954817786,0.1756677553376007,1.097983527517839,1.0486852105477376
74,1.8771491589641929,1.6900056862761048,1.2073430870516737,1.0705591673568875,1.940502440745583,1.8714581929968117
75,3.402136235793612,3.676071826881075,1.3697985821594871,1.486068755428804,1.0162154028250887,1.03331114719091
76,3.444981732003108,2.0569181158322647,1.7707224872948528,0.7818954008245708,1.1765871906125112,1.2430725073246125
77,1.5386321141465598,2.155428358738934,0.2888814592256691,1.073066637536882,2.660347514788903,2.32423221666084
78,2.4368941113061395,2.295442453741432,0.9742657155130332,0.9092652077154412,0.4919507160492273,0.4317686430760371
79,2.198304406609436,2.3072161808211757,0.5974823165443742,0.5381894957030737,2.770711144243367,2.922934165155026
80,3.6862752166555417,3.5674980014849904,1.580350671418908,1.5106464452273682,2.3534050773154096,2.317788884170411
81,2.540351396198928,2.542899589291607,0.9934427065404032,0.8183306267209527,1.3401248366220353,1.416840617711313
82,2.1268877609893817,2.159997701370974,1.5115318186593625,1.5974954341523984,1.1838850567480628,1.1613271400687362
83,2.817759142872168,3.5417866864341607,0.4382295394302498,0.8277483590066195,1.6522375982945654,1.5755299669412617
84,3.439857090225241,3.182641912140374,1.4216760639168096,1.2901917384010888,0.9770719255104072,0.97818214948926
85,1.7621618483483903,1.6766236549776934,0.6794458196915127,0.579519851276879,1.4964746940376583,1.3775141099020385
86,3.627453332349572,3.383652447728867,0.6048088459657828,0.6134176147752852,1.8776646176970664,1.806072454822644
87,1.7362504240259051,1.7159001785640218,1.7200007054104487,1.4667533112509836,2.3436201958394913,2.2905776349636
88,1.8379796497525425,1.80327951315131,0.566069249011321,0.3239289113046249,1.91099694634324,2.191667145365285
89,2.3458732005901575,2.8397215563516927,1.7618628578055116,2.0,1.2432805879482984,1.3245185096171967
90,1.9677909825343016,2.0411432964564074,1.164822999242297,1.2453582956513911,0.5733118169613619,0.6034116135128391
91,1.7556725065496512,2.2546976858134347,1.5132089283345846,1.9564414117327715,0.7378690133444835,0.6230516796944316
92,1.646726086723271,1.5,1.770313383651671,1.9475970597889771,2.493406104544404,2.398696425542966
93,3.91939084899524,4.0,1.0998596203649411,0.7678633990625374,2.8580312807554216,3.0
