,a_true,a_estimate,lambda_true,lambda_estimate,delta_true,delta_estimate
0,1.583195401010879,1.5,0.9906821208204146,0.9124137451175748,1.993263902137889,1.9489177468345689
1,3.946899519484829,4.0,1.8536122780343725,1.8389218752257857,2.4630044792695127,2.405981400937455
2,1.53514404506936,1.6118554287714149,0.7392825724197737,0.7843304052022266,0.5385951719857479,0.5969923431945926
3,3.769695070883888,3.5031444210250955,0.4425318540140066,0.3890975659791524,0.2524085454620082,0.223323732243389
4,3.104731149465336,2.8993835568086777,1.7264752863563622,1.6744278010702298,1.215555676924522,1.1986092401330417
5,3.013174134720967,3.024797481200584,1.946367769568491,1.843614441226151,1.291883863650232,1.4147023560547234
6,2.222284018925072,1.9972052861432463,0.2012009286824412,0.1,2.370877975082498,2.335401621561434
7,2.956023686581129,3.004645944244965,1.1547460680430162,1.1104022780305718,1.694073154094676,1.7011148581416429
8,2.38939695574671,2.4223994404275584,1.9333438505925544,1.9546059678644825,0.0913795310994037,0.0020558124792223
9,3.76554698214936,4.0,1.813678941330808,1.8403831967123772,0.7563104892866249,0.7439103487392331
10,3.897602559114613,3.1795789695380363,1.9489795732173696,1.7000524455786088,1.1593544533608675,1.211441583625674
11,2.1656370350611835,2.237863523760118,0.3421916212331224,0.349101958829041,0.4958094695994436,0.4654402687744272
12,3.5838887423038135,3.495478747112732,1.7466373809145213,1.6860803309776076,0.7189471721213622,0.7652067577695257
13,2.974535708345946,3.0238419519612343,1.583580564178388,1.5215148464732546,2.009056668741445,1.963962542442866
14,1.7595719384675008,1.5119540306641657,1.6426778756670923,1.438453180618103,2.48886112537636,2.5345641425122105
15,2.992402897192914,3.1955873236961803,1.891321282525286,1.8876662426169124,2.8437253957342707,3.0
16,3.8303343788346025,3.546353757659219,0.8067642449297411,0.696811833828557,1.5415492150059114,1.5835627046463998
17,1.6263945395466597,1.7267549815118932,1.1895382392362148,1.3349712780886749,2.258833147549218,2.2653342207985467
18,3.1045598752361796,3.0509706753995145,1.2466548336810714,1.250322798949168,1.43803802944897,1.3881484828486212
19,1.57145679133979,1.5642851848189263,0.6204316112375534,0.6582438680642226,1.9996159039411217,1.9043230414149988
20,1.5107630975934525,1.5,1.48531092542888,1.4343712377855755,0.8605017584141175,0.7728836533978796
21,2.356988553382711,2.621138902982344,1.865837333450162,1.9408736446065211,1.1090294901566378,1.0940586042639908
22,3.6051537572309926,3.4584804963549622,1.340536733330289,1.2287321196208802,1.705415679154561,1.7127443391162978
23,3.833933341403012,4.0,0.2794500508963428,0.2878707564948873,0.4858781679565167,0.4877341387397025
24,2.3362136925070596,2.314478638751863,0.7274349358498776,0.7317191425476829,0.5360207679913449,0.5736625876311342
