,a_true,a_estimate,lambda_true,lambda_estimate,delta_true,delta_estimate,sigma_true,sigma_estimate,ndt_true,ndt_estimate
0,3.1408285207059996,2.8753183022987234,0.9905775882103008,0.9539585309150749,0.31150922875374654,0.31507213399286055,0.4999779299433575,0.49121636926572326,0.5341398638286566,0.5611399740270502
1,3.8143693288099625,4.0,0.9068197633290018,0.8983187545998383,1.2113779095910089,1.289511866414315,0.33245873381538027,0.32937711133179215,0.870660422028802,0.8596648383420776
2,3.9439712580612643,4.0,1.7969956877260262,1.6052730382105902,2.3356672414128457,2.5708597259089507,0.10938547033256515,0.10785636963858772,0.5931070487938914,0.5931178918945113
3,2.927172267651298,2.929796920796612,1.8772935706124703,1.8616103671980233,0.6683489179012884,0.6319390039539613,0.1422473829423888,0.14282812178267998,0.19571633712097858,0.19318650266533438
4,2.4023248453682435,2.4103148100225624,1.4083606386001706,1.3438701350259141,2.387461805925014,2.389843886241406,0.15197859799507432,0.15414663820886942,0.9635854846623818,0.9651595623708406
5,2.017879081238415,1.8451126393121209,1.7214657262092279,1.5639396868722648,2.208547197193251,2.3114363755498757,0.2599878641127848,0.2601143028794913,0.7241613260766284,0.7421612718849981
6,2.335746189339768,2.5476664651503045,1.9243563147690528,2.0,1.5216187901131772,1.4635278688633444,0.40731442416742186,0.4106914694426409,0.6492176122548207,0.63421795475909
7,3.9573706434727747,3.742782064800541,0.5640684117822085,0.40159558141352125,2.236954720147543,2.4460674098043085,0.16083758913912988,0.16792046202484076,0.5210748445808484,0.5333835948785103
8,2.2256020831557835,2.24030566413553,1.6436258150068759,1.6679550910810819,2.203316910005045,2.048978921354458,0.06266812226379025,0.06146574534203774,0.051463988370697364,0.05079533809166431
9,2.444471897387748,2.3080072236390508,0.91789296896558,0.8824842629295926,1.160121775109431,1.0701459865700977,0.42844932697506555,0.4384832119804981,0.9647236287389587,0.9707236434930845
10,2.5612263516369262,2.57950195465404,1.609824935715143,1.5949312706059233,2.4790760609954194,2.4712580737855205,0.4075219081829164,0.41792592331830203,0.9763769900897541,0.9803770058668928
11,2.6092233664572597,2.8049101067523976,0.8294983078252499,0.8561469942811344,0.3447249685139754,0.28012796126642187,0.43076744416654444,0.4096739571106251,0.5550114031880797,0.5370102281779291
12,2.343774113961044,2.290694306422198,1.4196854788775677,1.3882616020641785,0.4497760450523083,0.42034819169727133,0.28963473062320866,0.2943328940074635,0.9452668833281159,0.9578329754715144
13,2.707943725470865,2.5299896520082923,0.7691420305556905,0.697159930411144,1.1843099755788224,1.2277655376365626,0.2387758045109018,0.24783516000334493,0.2682390065515821,0.283417198332624
14,3.523326486258989,3.763386260874168,0.4823309415845465,0.5067438130636613,0.28820789414609604,0.28988422922837026,0.32399420679637553,0.3315015853292515,0.46079885072840093,0.4586050670250522
15,2.0756907304474157,1.9660699138685693,1.6959898247336571,1.5791384862140576,0.690211437104561,0.6689170605470184,0.25163898751817626,0.2551918605267961,0.7109120504085855,0.7116218470824855
16,3.1460038283714926,3.0886940493958055,0.8857194914964304,0.8774313786154655,0.0243032168873748,0.0,0.28433242879755927,0.2735355423205507,0.9290530625591954,0.9265704924590579
17,3.9219646121472453,4.0,0.7360248549625651,0.787333372482989,1.3546743301477324,1.267903537908429,0.08760942687429794,0.09212309131776102,0.40755521425682506,0.40689355717312053
18,3.340338595296856,3.7220624093512975,1.1803296808532322,1.1665471160755458,2.905012491723604,3.0,0.38496276578271527,0.37640666095515335,0.26925728123178466,0.2482572798200179
19,1.86411247187896,1.8873235050844381,0.3189591451731691,0.35701588641199283,1.448459625821377,1.438189000239495,0.43759389819765393,0.4583367429323027,0.6534027182915602,0.6454028660487922
20,2.9530698142558225,3.1317000862500777,0.1845226227067735,0.41496924282437997,2.674390948112258,2.2890621353173715,0.298256175771561,0.29139588773031105,0.3750091042264418,0.3591056449876968
21,3.6735200832761783,4.0,1.4295375872331209,1.5161830855358367,1.3310184499137678,1.3823339866486413,0.20615197224475632,0.19579173028799296,0.2816180110721005,0.29124209385025085
22,2.5036693747637777,2.4988001909289457,1.6652425291581099,1.630411551753016,2.19467330222181,2.244163405594365,0.16850958312852318,0.16227487497315576,0.644909849981334,0.6467249088232703
23,2.730420180400657,2.691734467062705,1.467403786471195,1.4462063171517507,0.8953282978560194,0.9032929500234365,0.06519681451455354,0.0633658797833552,0.9528072948993968,0.964191174924696
24,2.7765011812025446,2.8789848675929735,1.7511451848384254,1.8027687776336332,0.8329237969325753,0.8401298895035643,0.46787482583933987,0.48089062679324057,0.24166611158269555,0.25366614371558016
25,3.8026902704342507,3.7598983402187103,1.4895325970049347,1.492095910953874,0.4101462932243357,0.528935199618888,0.2231772472157589,0.2199299316012229,0.926266654447155,0.9384792950447468
26,1.8350800402692324,1.7776869314516475,1.006929610594714,1.1010403320806752,2.7177585768432957,2.516847479995745,0.4422692543552715,0.421723543781044,0.64920220074249,0.6592021706168745
27,1.7120036642298462,1.6664448051793492,0.584248471544314,0.6210194459749239,1.5667939846354386,1.424248300601859,0.31867466626841445,0.3257920181302277,0.3564586688397383,0.3698802299059755
28,1.5395875555348746,1.5970970009920973,0.1735228526743345,0.2150997105849412,2.9312943604717017,3.0,0.483481764731187,0.4850825177364948,0.1470555924669856,0.1500556016890402
29,3.4550153256754337,3.441064688019191,1.7896095725101306,1.998618021257017,2.9811201769805136,2.617637259179941,0.3293580466012599,0.339136972019614,0.5838553717312192,0.5858553385737836
30,3.8135415569496844,3.66588397650451,1.1139805311972075,0.9253209931037822,2.7542845065667225,3.0,0.22039284257312064,0.2071385752518903,0.2529838860691228,0.24628574749131954
31,2.429104652284592,2.5136273490097936,0.6499052425530426,0.6685813841816223,0.43540023648385284,0.4569541637518302,0.3707250479286713,0.3840855224346201,0.544510728846739,0.5305144948884979
32,2.60290240722564,2.5385790885750907,1.720937790381432,1.7058605966982079,0.8243301679886753,0.8794485640937558,0.4995410992580578,0.4955962052207882,0.4992169302784632,0.5172179629506242
33,2.276169990382498,2.462030174506148,0.7421232235622722,1.1162915243864144,2.8839031152672963,2.483094165587647,0.1806252709981771,0.1739559166311344,0.5983560274759264,0.5888578666164704
34,3.6633003776202218,3.8869631096902433,1.6757879209884452,1.6757449808472744,1.2937799337496445,1.3773381314754891,0.4156602557302899,0.41181841507468464,0.5911084267042589,0.5861084230557511
35,1.732718069102404,1.7268784035364058,1.0082909575300212,0.9463376457118265,1.7045964711150847,1.7147903943970388,0.05532131571814137,0.05502391877158954,0.6172159427011955,0.6187445951772571
36,2.962799879081305,2.9949946311150417,1.7034821880416053,1.8860228491335895,2.333118666814447,2.3447607199952643,0.31346934201162013,0.3168788661170265,0.7420982552890043,0.7540982522469246
37,1.8398199895327974,1.7615849450956667,1.1743886689541074,1.1038430672576416,1.8873896616358279,1.9241652799640125,0.1334865091660559,0.13381556663368926,0.8343110116772396,0.8321337742144882
38,2.969378743373984,2.971458672954614,0.18545109513953612,0.11244975770154182,2.2539295086765465,2.424116204799186,0.3788055021823667,0.3880051287550912,0.7972429841650344,0.7942429840171341
39,1.6685724991187856,1.6468283655804348,0.41431778981959644,0.2976098659808503,2.8210114718582275,3.0,0.08110827077397391,0.08224827507797447,0.9422728890923227,0.9432559946653982
40,3.6303364681374406,3.7300437393814585,1.7327340332158423,1.731787303333605,0.35335081164370763,0.44277245177247176,0.371291836061873,0.4014664501754569,0.2424552181543751,0.23953953940961928
41,1.9163896770282316,1.9638492871299205,1.1286111199251723,1.063851176217884,0.12663146507882317,0.107610920237041,0.335314307290651,0.34097563353909643,0.46155477336210776,0.45077066396316756
42,1.6727966155158889,1.9697255168184509,1.1081925029971995,1.2514214453046728,0.8085285172127281,0.7975304530810767,0.388138618150599,0.39121648647368956,0.7484694012546299,0.7294696251813805
43,3.4183169094772743,3.8882693855084813,1.3520376656797508,1.4871376810943393,0.6418129788070304,0.6700415510668097,0.12869705428747924,0.12259112473238495,0.9482458237574748,0.9532458226328446
44,1.5104954870667016,1.5177763125885093,1.165793616350892,1.1426739465334474,0.27737119415048206,0.27313668477736963,0.3585254151034299,0.38531246464991453,0.8776226725918465,0.8776215788355303
45,2.9085152646386017,2.520792597657574,1.293895989544305,1.2371502619715065,2.096415674284337,2.1288436990931245,0.35317739281514576,0.36902809810421694,0.9126359155142186,0.9466362829176628
46,1.6126252468641564,1.6066145357256272,1.955292252246546,1.9999900806185882,2.410513095802701,2.250005531960742,0.1956180258515406,0.19910325342111762,0.9730099001109883,0.9808509964394934
47,3.974114480783779,3.937888277212407,0.6366344015504521,0.5468028825493709,2.5441311938623,2.5845687558330805,0.39315205512079177,0.4026376987476369,0.6850998879297241,0.67896240427464
48,3.1800407868391827,3.183939526101498,1.9794889922852184,1.923757386567128,1.2017279939197285,1.3259031875989469,0.13508824187148122,0.13155510603930406,0.2439174044067995,0.24270556588126724
49,2.3894973083359035,2.521211149584567,0.7572086447497919,0.782251610003023,1.1809048179862343,1.1882640128257511,0.12072511773858305,0.11238197710917623,0.5704254149627532,0.5643763453968
50,2.0353624144479525,2.200722187130811,0.7170349415443403,0.7212067055923105,1.4188425154621842,1.559677521475653,0.27335825520357704,0.26010656892651896,0.7063612748012243,0.7070075331749849
51,2.2795197047285036,2.282135454813049,0.9766593768461518,0.91626450072726,1.3340212742979616,1.4556416562045391,0.22014394236898263,0.21525621047511334,0.3299248959790148,0.34292515465986
52,1.8989869693853274,1.8773499993527247,0.129998448337646,0.12460822639046464,0.4902676065541033,0.4648067237528855,0.313278856918535,0.30284555756840875,0.6432720075898651,0.6542252016096521
53,1.9427891110178783,1.9706766117908658,1.0125249038209811,1.0018468446040047,0.050135665604238766,0.04531389408744676,0.16002082431261305,0.16411666660017488,0.39774020795354836,0.3974911199633878
54,3.967031911495942,3.9329089353158366,0.10422887019132358,0.1,2.661477781491684,2.6425099260880107,0.32218091689704914,0.34816654615241566,0.4310564582619352,0.45272115096246024
55,3.9677858031513886,3.6483089202028425,1.0395966736497535,0.8825332116438717,2.8278687989414655,3.0,0.47030895045810733,0.47412786209194135,0.328281861273328,0.3522836643460804
56,3.545150191512661,3.499814660604783,0.15292068522239463,0.12779184391026102,0.8630776134679544,0.9448642255991226,0.05041041527958316,0.050815677782294906,0.9194884850358266,0.9235965405929195
57,3.3174167271439683,3.346709501142873,0.6556924392947019,0.5979415317365989,0.9105060151983904,0.999741193210885,0.35615713490644946,0.3551873004295527,0.42068203278986255,0.42504578548124305
58,1.7176088429808585,1.6482337519897299,0.5535532374701945,0.5351886697966545,0.10688915596651638,0.10733076474393963,0.0912665953123356,0.08923737889443066,0.846597110570269,0.8514647268426715
59,1.9805429618062802,1.9400024620789988,0.828278186396439,0.787467844150488,1.9751095524761366,1.9901845543531822,0.12493205920713854,0.12054877916523135,0.5787328188290416,0.5685387987736041
60,2.3117723142691515,2.348532580722575,1.8266012414889472,2.0,2.982431936442672,2.6856691119043408,0.08705933314863296,0.08815673084998597,0.09243021153054931,0.09033007997495364
61,3.890529780095073,4.0,0.9509138473801356,0.9692984464650023,0.6247384451808463,0.546237588000667,0.3365394227646284,0.34827350667143736,0.3687390996880508,0.343739095324642
